"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Cassidy","2022-11-16 12:00:13",32.289737,-111.035725
"2",2,"Cassidy","2022-11-17 01:00:09",32.278229,-111.021685
"3",3,"Cassidy","2022-11-17 14:00:08",32.27658,-111.024695
"4",4,"Cassidy","2022-11-17 15:00:57",32.273245,-111.02994
"5",5,"Cassidy","2022-11-18 03:00:19",32.282886,-111.029107
"6",6,"Cassidy","2022-11-19 18:00:07",32.283271,-111.031691
"7",7,"Cassidy","2022-11-20 20:00:15",32.278541,-111.024058
"8",8,"Cassidy","2022-11-21 09:00:08",32.283269,-111.031604
"9",9,"Cassidy","2022-11-21 22:00:09",32.278299,-111.021004
"10",10,"Cassidy","2022-11-22 09:00:12",32.279661,-111.022227
"11",11,"Cassidy","2022-11-22 11:00:11",32.283224,-111.031636
"12",12,"Cassidy","2022-11-22 13:00:25",32.279354,-111.02404
"13",13,"Cassidy","2022-11-22 15:00:10",32.279367,-111.021694
"14",14,"Cassidy","2022-11-22 17:00:12",32.279293,-111.021682
"15",15,"Cassidy","2022-11-22 21:00:07",32.288511,-111.027423
"16",16,"Cassidy","2022-11-22 23:00:06",32.290579,-111.034132
"17",17,"Cassidy","2022-11-23 03:00:07",32.299661,-111.04421
"18",18,"Cassidy","2022-11-23 05:00:15",32.297114,-111.039763
"19",19,"Cassidy","2022-11-23 07:00:17",32.290852,-111.036451
"20",20,"Cassidy","2022-11-23 09:00:10",32.288405,-111.032125
"21",21,"Cassidy","2022-11-23 11:00:11",32.282551,-111.030641
"22",22,"Cassidy","2022-11-23 13:00:25",32.288432,-111.03213
"23",23,"Cassidy","2022-11-23 15:00:11",32.288433,-111.032073
"24",24,"Cassidy","2022-11-23 17:00:13",32.287844,-111.031689
"25",25,"Cassidy","2022-11-23 19:00:08",32.288425,-111.032003
"26",26,"Cassidy","2022-11-23 23:00:23",32.281873,-111.025439
"27",27,"Cassidy","2022-11-24 01:00:21",32.279371,-111.024561
"28",28,"Cassidy","2022-11-24 07:00:14",32.279312,-111.024454
"29",29,"Cassidy","2022-11-24 11:00:12",32.279461,-111.02452
"30",30,"Cassidy","2022-11-24 13:00:24",32.283326,-111.031567
"31",31,"Cassidy","2022-11-24 15:00:03",32.27854,-111.036151
"32",32,"Cassidy","2022-11-24 17:00:10",32.268796,-111.035652
"33",33,"Cassidy","2022-11-24 19:00:51",32.278706,-111.030648
"34",34,"Cassidy","2022-11-24 21:00:11",32.279566,-111.027763
"35",35,"Cassidy","2022-11-24 23:00:15",32.279427,-111.026659
"36",36,"Cassidy","2022-11-25 01:00:12",32.278273,-111.024054
"37",37,"Cassidy","2022-11-25 03:00:25",32.278223,-111.024046
"38",38,"Cassidy","2022-11-25 05:00:15",32.278194,-111.02108
"39",39,"Cassidy","2022-11-25 07:00:15",32.274645,-111.019834
"40",40,"Cassidy","2022-11-25 09:00:11",32.272912,-111.01844
"41",41,"Cassidy","2022-11-25 11:00:12",32.278015,-111.024019
"42",42,"Cassidy","2022-11-25 15:00:25",32.278118,-111.023999
"43",43,"Cassidy","2022-11-25 17:00:10",32.278114,-111.023966
"44",44,"Cassidy","2022-11-25 19:00:18",32.278371,-111.024244
"45",45,"Cassidy","2022-11-25 21:00:26",32.278244,-111.023704
"46",46,"Cassidy","2022-11-25 23:00:12",32.278035,-111.022218
"47",47,"Cassidy","2022-11-26 01:00:14",32.27849,-111.022772
"48",48,"Cassidy","2022-11-26 03:00:11",32.278218,-111.021648
"49",49,"Cassidy","2022-11-26 05:00:13",32.278441,-111.022501
"50",50,"Cassidy","2022-11-26 07:00:10",32.278432,-111.022497
"51",51,"Cassidy","2022-11-26 09:00:11",32.273211,-111.019201
"52",52,"Cassidy","2022-11-26 11:00:11",32.27814,-111.020966
"53",53,"Cassidy","2022-11-26 13:00:12",32.278055,-111.022142
"54",54,"Cassidy","2022-11-26 15:00:26",32.278232,-111.020742
"55",55,"Cassidy","2022-11-26 17:00:14",32.277704,-111.020434
"56",56,"Cassidy","2022-11-26 19:00:14",32.277754,-111.02038
"57",57,"Cassidy","2022-11-26 21:00:18",32.277778,-111.020063
"58",58,"Cassidy","2022-11-26 23:00:10",32.27811,-111.020901
"59",59,"Cassidy","2022-11-27 01:00:10",32.275712,-111.019973
"60",60,"Cassidy","2022-11-27 03:00:19",32.276544,-111.020363
"61",61,"Cassidy","2022-11-27 05:00:26",32.276888,-111.020224
"62",62,"Cassidy","2022-11-27 07:00:11",32.273708,-111.017394
"63",63,"Cassidy","2022-11-27 09:00:09",32.273089,-111.019516
"64",64,"Cassidy","2022-11-27 11:00:11",32.269049,-111.029255
"65",65,"Cassidy","2022-11-27 15:00:09",32.276657,-111.020201
"66",66,"Cassidy","2022-11-27 17:00:14",32.276866,-111.020296
"67",67,"Cassidy","2022-11-27 19:00:11",32.276859,-111.020139
"68",68,"Cassidy","2022-11-27 21:00:09",32.273317,-111.020465
"69",69,"Cassidy","2022-11-27 23:00:10",32.274697,-111.019826
"70",70,"Cassidy","2022-11-28 01:00:24",32.27896,-111.022518
"71",71,"Cassidy","2022-11-28 03:00:17",32.273782,-111.020316
"72",72,"Cassidy","2022-11-28 05:00:09",32.272121,-111.015506
"73",73,"Cassidy","2022-11-28 09:00:22",32.276799,-111.020267
"74",74,"Cassidy","2022-11-28 11:00:13",32.273494,-111.020432
"75",75,"Cassidy","2022-11-28 13:00:07",32.275837,-111.021681
"76",76,"Cassidy","2022-11-28 15:00:07",32.276592,-111.024712
"77",77,"Cassidy","2022-11-28 17:00:22",32.276813,-111.020222
"78",78,"Cassidy","2022-11-28 19:00:08",32.276812,-111.020265
"79",79,"Cassidy","2022-11-28 23:00:11",32.278202,-111.020863
"80",80,"Cassidy","2022-11-29 01:00:09",32.278961,-111.024454
"81",81,"Cassidy","2022-11-29 03:00:24",32.27934,-111.024835
"82",82,"Cassidy","2022-11-29 05:00:12",32.278697,-111.024118
"83",83,"Cassidy","2022-11-29 09:00:10",32.28218,-111.032699
"84",84,"Cassidy","2022-11-29 11:00:09",32.281294,-111.030758
"85",85,"Cassidy","2022-11-29 13:00:14",32.278591,-111.024428
"86",86,"Cassidy","2022-11-29 15:00:17",32.278553,-111.024088
"87",87,"Cassidy","2022-11-29 17:00:24",32.278805,-111.023949
"88",88,"Cassidy","2022-11-29 21:00:19",32.278668,-111.024079
"89",89,"Cassidy","2022-11-29 23:00:15",32.279054,-111.025127
"90",90,"Cassidy","2022-11-30 01:00:10",32.279289,-111.026081
"91",91,"Cassidy","2022-11-30 03:00:25",32.279068,-111.025873
"92",92,"Cassidy","2022-11-30 05:00:25",32.279205,-111.026261
"93",93,"Cassidy","2022-11-30 09:00:10",32.267976,-111.02879
"94",94,"Cassidy","2022-11-30 11:00:08",32.273203,-111.019426
"95",95,"Cassidy","2022-11-30 13:00:09",32.278992,-111.025998
"96",96,"Cassidy","2022-11-30 15:00:11",32.279066,-111.026025
"97",97,"Cassidy","2022-11-30 17:00:07",32.279177,-111.026004
"98",98,"Cassidy","2022-11-30 19:00:08",32.279744,-111.025742
"99",99,"Cassidy","2022-11-30 21:00:26",32.278509,-111.024007
"100",100,"Cassidy","2022-11-30 23:00:13",32.278754,-111.023997
"101",101,"Cassidy","2022-12-01 01:00:17",32.278848,-111.023309
"102",102,"Cassidy","2022-12-01 09:00:09",32.280839,-111.02573
"103",103,"Cassidy","2022-12-01 11:00:08",32.28653,-111.028606
"104",104,"Cassidy","2022-12-01 13:00:12",32.284693,-111.028218
"105",105,"Cassidy","2022-12-01 15:00:08",32.284604,-111.028713
"106",106,"Cassidy","2022-12-01 17:00:06",32.284598,-111.028662
"107",107,"Cassidy","2022-12-01 19:00:13",32.284524,-111.028718
"108",108,"Cassidy","2022-12-01 21:00:08",32.283239,-111.028312
"109",109,"Cassidy","2022-12-01 23:01:10",32.28332,-111.030316
"110",110,"Cassidy","2022-12-02 01:00:12",32.283348,-111.028345
"111",111,"Cassidy","2022-12-02 05:00:12",32.283205,-111.028249
"112",112,"Cassidy","2022-12-02 09:00:12",32.285751,-111.030082
"113",113,"Cassidy","2022-12-02 13:00:17",32.286673,-111.03043
"114",114,"Cassidy","2022-12-02 15:00:26",32.289342,-111.032143
