"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Catherine","2020-12-18 02:00:09",32.270044,-111.081584
"2",2,"Catherine","2020-12-18 08:00:08",32.265324,-111.072987
"3",3,"Catherine","2020-12-18 15:00:17",32.265063,-111.065607
"4",4,"Catherine","2020-12-18 21:00:18",32.269317,-111.070149
"5",5,"Catherine","2020-12-19 03:00:17",32.268935,-111.069667
"6",6,"Catherine","2020-12-19 16:00:13",32.262241,-111.065565
"7",7,"Catherine","2020-12-20 04:00:23",32.268628,-111.069782
"8",8,"Catherine","2020-12-21 05:00:17",32.268508,-111.067304
"9",9,"Catherine","2020-12-21 18:00:07",32.26043,-111.070221
"10",10,"Catherine","2020-12-22 06:00:11",32.265186,-111.072088
"11",11,"Catherine","2020-12-22 11:01:28",32.260661,-111.076975
"12",12,"Catherine","2020-12-22 19:00:09",32.256429,-111.086565
"13",13,"Catherine","2020-12-23 07:00:09",32.260606,-111.080495
"14",14,"Catherine","2020-12-23 20:00:08",32.261539,-111.070593
"15",15,"Catherine","2020-12-24 21:00:12",32.257408,-111.0784
"16",16,"Catherine","2020-12-25 09:00:11",32.262658,-111.068216
"17",17,"Catherine","2020-12-25 22:00:10",32.267184,-111.068095
"18",18,"Catherine","2020-12-26 10:00:25",32.268724,-111.067389
"19",19,"Catherine","2020-12-26 23:00:11",32.257404,-111.078567
"20",20,"Catherine","2020-12-28 00:00:07",32.262231,-111.079163
"21",21,"Catherine","2020-12-28 12:00:22",32.261632,-111.071103
"22",22,"Catherine","2020-12-29 01:00:07",32.253623,-111.075738
"23",23,"Catherine","2020-12-29 13:00:10",32.25287,-111.062462
"24",24,"Catherine","2020-12-29 15:00:50",32.251691,-111.067695
"25",25,"Catherine","2020-12-30 02:00:07",32.259842,-111.077867
"26",26,"Catherine","2020-12-31 03:00:06",32.253077,-111.07274
"27",27,"Catherine","2021-01-01 04:00:07",32.25496,-111.071894
"28",28,"Catherine","2021-01-01 16:00:08",32.265562,-111.05934
"29",29,"Catherine","2021-01-02 17:00:19",32.252064,-111.06545
"30",30,"Catherine","2021-01-03 06:00:13",32.261943,-111.074817
"31",31,"Catherine","2021-01-03 18:00:07",32.264575,-111.057875
"32",32,"Catherine","2021-01-04 07:00:08",32.265015,-111.086249
"33",33,"Catherine","2021-01-04 19:00:05",32.260516,-111.086898
"34",34,"Catherine","2021-01-05 08:00:15",32.254788,-111.066786
"35",35,"Catherine","2021-01-05 20:00:04",32.262527,-111.068716
"36",36,"Catherine","2021-01-06 09:00:08",32.265445,-111.076898
"37",37,"Catherine","2021-01-06 21:00:09",32.25475,-111.073385
"38",38,"Catherine","2021-01-07 10:00:07",32.268774,-111.059792
"39",39,"Catherine","2021-01-07 22:00:07",32.258198,-111.085777
"40",40,"Catherine","2021-01-08 11:00:08",32.26182,-111.076887
"41",41,"Catherine","2021-01-09 12:00:16",32.269984,-111.065609
"42",42,"Catherine","2021-01-10 13:00:10",32.267111,-111.071214
"43",43,"Catherine","2021-01-11 01:00:24",32.256266,-111.063688
"44",44,"Catherine","2021-01-11 14:00:21",32.262714,-111.074794
"45",45,"Catherine","2021-01-12 02:00:06",32.263782,-111.072581
"46",46,"Catherine","2021-01-12 15:00:25",32.263764,-111.072542
"47",47,"Catherine","2021-01-12 23:00:39",32.266819,-111.072319
"48",48,"Catherine","2021-01-13 03:00:08",32.266846,-111.07232
"49",49,"Catherine","2021-01-13 16:00:08",32.266858,-111.072302
