"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Nala","2023-12-08 06:00:09",32.327191,-111.073039
"2",2,"Nala","2023-12-08 21:00:07",32.363959,-111.10308
"3",3,"Nala","2023-12-08 23:00:11",32.359663,-111.101116
"4",4,"Nala","2023-12-09 01:00:15",32.359664,-111.101141
"5",5,"Nala","2023-12-09 03:00:16",32.359584,-111.101203
"6",6,"Nala","2023-12-09 05:00:12",32.358841,-111.101285
"7",7,"Nala","2023-12-09 07:00:09",32.35864,-111.10157
"8",8,"Nala","2023-12-09 09:00:10",32.355454,-111.097836
"9",9,"Nala","2023-12-09 11:00:10",32.356588,-111.099205
"10",10,"Nala","2023-12-09 13:00:22",32.354723,-111.096616
"11",11,"Nala","2023-12-09 15:00:37",32.357284,-111.096395
"12",12,"Nala","2023-12-09 17:00:11",32.360668,-111.102059
"13",13,"Nala","2023-12-09 19:00:10",32.360609,-111.102343
"14",14,"Nala","2023-12-09 21:00:23",32.366221,-111.109709
"15",15,"Nala","2023-12-09 23:00:09",32.373419,-111.112487
"16",16,"Nala","2023-12-10 01:00:20",32.377755,-111.114895
"17",17,"Nala","2023-12-10 03:00:18",32.378172,-111.114938
"18",18,"Nala","2023-12-10 05:00:08",32.377144,-111.113309
"19",19,"Nala","2023-12-10 07:00:09",32.379209,-111.113386
"20",20,"Nala","2023-12-10 11:00:26",32.378095,-111.115028
"21",21,"Nala","2023-12-10 19:00:14",32.374286,-111.113847
"22",22,"Nala","2023-12-10 21:00:14",32.377331,-111.114508
"23",23,"Nala","2023-12-10 23:00:07",32.375659,-111.114247
"24",24,"Nala","2023-12-11 01:00:25",32.370835,-111.111728
"25",25,"Nala","2023-12-11 03:00:09",32.369567,-111.11102
"26",26,"Nala","2023-12-11 05:00:10",32.370847,-111.111612
"27",27,"Nala","2023-12-11 07:00:12",32.373212,-111.113457
"28",28,"Nala","2023-12-11 09:00:09",32.375079,-111.114126
"29",29,"Nala","2023-12-11 11:00:09",32.371885,-111.114833
"30",30,"Nala","2023-12-11 13:00:08",32.371956,-111.114853
"31",31,"Nala","2023-12-11 15:00:08",32.371881,-111.114911
"32",32,"Nala","2023-12-11 21:00:09",32.371865,-111.114925
"33",33,"Nala","2023-12-11 23:00:09",32.373917,-111.113658
"34",34,"Nala","2023-12-12 01:00:11",32.372295,-111.114521
"35",35,"Nala","2023-12-12 05:00:11",32.377678,-111.114885
"36",36,"Nala","2023-12-12 07:00:09",32.378147,-111.115013
"37",37,"Nala","2023-12-12 09:00:11",32.374296,-111.113667
"38",38,"Nala","2023-12-12 11:00:14",32.37241,-111.112143
"39",39,"Nala","2023-12-12 13:00:08",32.373839,-111.111463
"40",40,"Nala","2023-12-12 15:00:13",32.373766,-111.111547
"41",41,"Nala","2023-12-12 17:00:09",32.373805,-111.111479
"42",42,"Nala","2023-12-12 21:00:17",32.370362,-111.107597
"43",43,"Nala","2023-12-12 23:00:09",32.370342,-111.107493
"44",44,"Nala","2023-12-13 03:00:09",32.371159,-111.107967
"45",45,"Nala","2023-12-13 05:00:09",32.365183,-111.109322
"46",46,"Nala","2023-12-13 07:00:10",32.362822,-111.107961
"47",47,"Nala","2023-12-13 09:00:08",32.363127,-111.104263
"48",48,"Nala","2023-12-13 11:00:13",32.363703,-111.10294
"49",49,"Nala","2023-12-13 13:00:11",32.366385,-111.105714
"50",50,"Nala","2023-12-13 15:00:09",32.363191,-111.103058
"51",51,"Nala","2023-12-13 17:00:10",32.363249,-111.103121
"52",52,"Nala","2023-12-13 19:00:11",32.358565,-111.102735
"53",53,"Nala","2023-12-13 21:00:16",32.356007,-111.101216
"54",54,"Nala","2023-12-13 23:00:09",32.35672,-111.102953
"55",55,"Nala","2023-12-14 03:00:13",32.357863,-111.103723
"56",56,"Nala","2023-12-14 05:00:08",32.360383,-111.107172
"57",57,"Nala","2023-12-14 07:00:08",32.352969,-111.099475
"58",58,"Nala","2023-12-14 09:00:10",32.35694,-111.103184
"59",59,"Nala","2023-12-14 11:00:08",32.352968,-111.099316
