"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Steve","2021-11-21 07:00:10",32.188216,-111.032054
"2",2,"Steve","2021-11-21 20:00:11",32.17714,-111.041921
"3",3,"Steve","2021-11-22 09:00:11",32.166048,-111.020037
"4",4,"Steve","2021-11-22 22:00:17",32.172908,-111.005242
"5",5,"Steve","2021-11-23 11:00:11",32.178973,-111.018957
"6",6,"Steve","2021-11-24 00:00:15",32.17902,-111.014561
"7",7,"Steve","2021-11-24 07:00:37",32.183574,-111.027076
"8",8,"Steve","2021-11-24 13:00:08",32.195582,-111.031779
"9",9,"Steve","2021-11-25 02:00:15",32.186936,-111.04399
"10",10,"Steve","2021-11-25 15:00:19",32.179465,-111.036657
"11",11,"Steve","2021-11-26 04:00:14",32.171669,-111.022662
"12",12,"Steve","2021-11-26 17:00:08",32.180689,-111.009138
"13",13,"Steve","2021-11-27 06:00:25",32.180596,-111.020371
"14",14,"Steve","2021-11-27 19:00:12",32.191383,-111.028921
"15",15,"Steve","2021-11-28 08:00:09",32.175755,-111.0373
"16",16,"Steve","2021-11-28 21:00:12",32.175198,-111.026538
"17",17,"Steve","2021-11-29 10:00:11",32.175802,-111.008836
"18",18,"Steve","2021-11-29 23:00:11",32.191378,-111.037408
"19",19,"Steve","2021-11-30 12:00:12",32.178631,-111.034165
"20",20,"Steve","2021-12-01 01:00:07",32.173805,-111.040518
"21",21,"Steve","2021-12-01 11:00:37",32.179915,-111.012517
"22",22,"Steve","2021-12-02 16:00:10",32.172842,-111.026628
"23",23,"Steve","2021-12-03 05:00:15",32.187561,-111.043375
"24",24,"Steve","2021-12-03 18:00:12",32.183678,-111.011439
"25",25,"Steve","2021-12-04 20:00:07",32.189907,-111.034807
"26",26,"Steve","2021-12-05 09:00:10",32.190799,-111.026145
"27",27,"Steve","2021-12-05 22:00:08",32.176423,-111.012108
"28",28,"Steve","2021-12-06 11:00:09",32.168585,-111.006585
"29",29,"Steve","2021-12-07 00:00:10",32.180622,-111.020323
"30",30,"Steve","2021-12-07 13:00:11",32.177048,-111.016127
"31",31,"Steve","2021-12-08 15:00:41",32.189174,-111.041098
"32",32,"Steve","2021-12-09 04:00:12",32.195974,-111.023581
"33",33,"Steve","2021-12-09 17:00:08",32.178849,-111.008571
"34",34,"Steve","2021-12-10 06:00:10",32.17599,-111.007969
"35",35,"Steve","2021-12-10 19:00:13",32.175467,-111.027904
"36",36,"Steve","2021-12-11 08:00:10",32.186626,-111.040927
"37",37,"Steve","2021-12-11 21:00:09",32.189814,-111.020809
"38",38,"Steve","2021-12-12 10:00:11",32.185945,-111.025382
"39",39,"Steve","2021-12-13 12:00:07",32.183286,-111.028283
"40",40,"Steve","2021-12-14 14:00:08",32.168021,-111.008402
"41",41,"Steve","2021-12-15 03:00:08",32.175928,-111.006734
"42",42,"Steve","2021-12-15 16:00:21",32.177541,-111.02066
"43",43,"Steve","2021-12-15 19:00:38",32.183005,-111.012195
"44",44,"Steve","2021-12-16 05:00:12",32.175772,-111.008196
"45",45,"Steve","2021-12-16 18:00:11",32.184663,-111.008944
"46",46,"Steve","2021-12-17 07:00:13",32.186651,-111.038581
"47",47,"Steve","2021-12-17 20:00:10",32.176387,-111.039184
"48",48,"Steve","2021-12-18 09:00:11",32.174858,-111.010083
"49",49,"Steve","2021-12-18 22:00:08",32.184113,-111.009528
"50",50,"Steve","2021-12-19 11:00:09",32.19315,-111.023825
"51",51,"Steve","2021-12-20 00:00:10",32.181781,-111.037923
"52",52,"Steve","2021-12-20 13:00:10",32.175223,-111.026822
"53",53,"Steve","2021-12-21 15:00:09",32.195162,-111.033744
"54",54,"Steve","2021-12-22 17:00:20",32.169102,-111.021652
"55",55,"Steve","2021-12-22 23:00:40",32.174959,-111.006594
"56",56,"Steve","2021-12-23 06:00:25",32.172735,-111.012379
"57",57,"Steve","2021-12-23 19:00:18",32.179843,-111.011883
"58",58,"Steve","2021-12-24 08:00:10",32.171265,-111.030927
"59",59,"Steve","2021-12-24 21:00:11",32.176685,-111.010398
"60",60,"Steve","2021-12-25 10:00:10",32.176053,-111.028755
"61",61,"Steve","2021-12-25 23:00:15",32.184574,-111.030208
"62",62,"Steve","2021-12-26 12:00:09",32.173183,-111.01328
"63",63,"Steve","2021-12-27 01:00:09",32.171176,-111.015569
"64",64,"Steve","2021-12-27 14:00:19",32.183857,-111.042873
"65",65,"Steve","2021-12-28 03:00:11",32.171259,-111.031312
"66",66,"Steve","2021-12-28 16:00:09",32.175069,-111.017942
"67",67,"Steve","2021-12-29 05:00:11",32.176138,-111.031331
"68",68,"Steve","2021-12-29 18:00:11",32.167981,-111.024844
"69",69,"Steve","2021-12-30 03:01:23",32.176353,-111.038749
"70",70,"Steve","2021-12-30 07:00:10",32.189328,-111.040772
"71",71,"Steve","2021-12-30 20:00:27",32.175059,-111.017975
"72",72,"Steve","2021-12-31 09:00:09",32.177553,-111.017905
"73",73,"Steve","2021-12-31 22:00:19",32.190568,-111.035109
"74",74,"Steve","2022-01-01 11:00:10",32.188015,-111.019827
"75",75,"Steve","2022-01-01 23:00:13",32.172215,-111.016517
"76",76,"Steve","2022-01-02 01:00:12",32.172257,-111.016443
"77",77,"Steve","2022-01-02 03:00:13",32.172219,-111.016448
"78",78,"Steve","2022-01-02 05:00:10",32.172256,-111.016476
"79",79,"Steve","2022-01-02 07:00:09",32.172198,-111.016443
"80",80,"Steve","2022-01-02 09:00:13",32.169941,-111.02179
"81",81,"Steve","2022-01-02 11:00:20",32.170706,-111.029844
"82",82,"Steve","2022-01-02 13:00:10",32.171575,-111.031246
"83",83,"Steve","2022-01-02 15:00:10",32.171159,-111.035031
"84",84,"Steve","2022-01-02 19:00:13",32.174846,-111.034021
"85",85,"Steve","2022-01-02 21:00:09",32.172752,-111.018952
"86",86,"Steve","2022-01-02 23:00:28",32.167854,-111.012801
"87",87,"Steve","2022-01-03 01:00:12",32.171359,-111.015388
"88",88,"Steve","2022-01-03 03:00:14",32.171209,-111.015519
"89",89,"Steve","2022-01-03 05:00:11",32.167737,-111.013246
"90",90,"Steve","2022-01-03 07:00:10",32.167914,-111.012611
"91",91,"Steve","2022-01-03 09:00:11",32.173025,-111.019922
"92",92,"Steve","2022-01-03 11:00:13",32.172221,-111.021479
"93",93,"Steve","2022-01-03 13:00:26",32.171759,-111.023148
"94",94,"Steve","2022-01-03 15:00:12",32.16974,-111.022868
"95",95,"Steve","2022-01-03 17:00:11",32.174197,-111.019246
"96",96,"Steve","2022-01-03 19:00:16",32.173219,-111.021501
"97",97,"Steve","2022-01-03 21:00:08",32.174237,-111.019517
"98",98,"Steve","2022-01-03 23:00:10",32.170885,-111.015717
"99",99,"Steve","2022-01-04 01:00:15",32.170913,-111.015688
"100",100,"Steve","2022-01-04 03:00:14",32.170956,-111.015666
"101",101,"Steve","2022-01-04 07:00:11",32.169199,-111.021244
