"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Braeden","2022-03-19 09:00:23",32.23313,-111.069606
"2",2,"Braeden","2022-03-19 22:00:08",32.239746,-111.066965
"3",3,"Braeden","2022-03-20 11:00:09",32.229723,-111.048107
"4",4,"Braeden","2022-03-21 07:00:07",32.237768,-111.057859
"5",5,"Braeden","2022-03-21 13:00:11",32.225033,-111.061454
"6",6,"Braeden","2022-03-21 19:00:10",32.226096,-111.063366
"7",7,"Braeden","2022-03-22 07:00:15",32.239314,-111.088225
"8",8,"Braeden","2022-03-22 19:00:13",32.243338,-111.076271
"9",9,"Braeden","2022-03-23 01:00:13",32.245589,-111.067865
"10",10,"Braeden","2022-03-23 07:00:09",32.244817,-111.065367
"11",11,"Braeden","2022-03-23 13:00:18",32.229482,-111.049833
"12",12,"Braeden","2022-03-23 19:00:21",32.232762,-111.056941
"13",13,"Braeden","2022-03-24 01:00:18",32.233059,-111.070217
"14",14,"Braeden","2022-03-24 07:00:10",32.230541,-111.076109
"15",15,"Braeden","2022-03-24 13:00:10",32.227123,-111.072166
"16",16,"Braeden","2022-03-24 19:00:09",32.228614,-111.060477
"17",17,"Braeden","2022-03-25 13:00:07",32.244612,-111.055934
"18",18,"Braeden","2022-03-25 19:00:11",32.243917,-111.096162
"19",19,"Braeden","2022-03-26 01:00:21",32.240379,-111.098643
"20",20,"Braeden","2022-03-26 07:00:15",32.240033,-111.100244
"21",21,"Braeden","2022-03-26 13:00:14",32.232452,-111.102469
"22",22,"Braeden","2022-03-26 19:00:08",32.236023,-111.059597
"23",23,"Braeden","2022-03-27 01:00:13",32.246214,-111.057172
"24",24,"Braeden","2022-03-27 07:00:10",32.249637,-111.055124
"25",25,"Braeden","2022-03-27 13:00:10",32.251153,-111.059941
"26",26,"Braeden","2022-03-27 19:00:20",32.239892,-111.067124
"27",27,"Braeden","2022-03-28 01:00:13",32.239854,-111.066932
"28",28,"Braeden","2022-03-28 13:00:14",32.221006,-111.06142
"29",29,"Braeden","2022-03-28 19:00:09",32.232477,-111.052376
"30",30,"Braeden","2022-03-29 07:00:08",32.243114,-111.07841
"31",31,"Braeden","2022-03-29 13:00:11",32.241926,-111.085654
"32",32,"Braeden","2022-03-30 01:00:11",32.237373,-111.099953
"33",33,"Braeden","2022-03-30 13:00:07",32.236342,-111.061182
"34",34,"Braeden","2022-03-30 19:00:08",32.231078,-111.046856
"35",35,"Braeden","2022-03-31 07:00:09",32.238261,-111.067521
"36",36,"Braeden","2022-03-31 19:00:09",32.244208,-111.101408
"37",37,"Braeden","2022-04-01 07:00:17",32.242018,-111.100697
"38",38,"Braeden","2022-04-01 19:00:08",32.226847,-111.055357
"39",39,"Braeden","2022-04-02 05:00:13",32.23156,-111.057455
"40",40,"Braeden","2022-04-02 07:00:46",32.2316,-111.057523
"41",41,"Braeden","2022-04-02 09:00:15",32.230399,-111.058139
"42",42,"Braeden","2022-04-02 11:00:10",32.225625,-111.059534
"43",43,"Braeden","2022-04-02 13:00:23",32.221999,-111.06312
"44",44,"Braeden","2022-04-02 15:00:14",32.229451,-111.073523
"45",45,"Braeden","2022-04-02 17:00:10",32.239881,-111.064431
"46",46,"Braeden","2022-04-02 19:00:11",32.246286,-111.063894
"47",47,"Braeden","2022-04-03 03:00:25",32.245674,-111.067962
"48",48,"Braeden","2022-04-03 07:00:22",32.244086,-111.072485
"49",49,"Braeden","2022-04-03 09:00:25",32.243955,-111.074051
"50",50,"Braeden","2022-04-03 11:00:20",32.243355,-111.08398
"51",51,"Braeden","2022-04-03 13:00:14",32.240715,-111.09866
"52",52,"Braeden","2022-04-03 15:00:08",32.240646,-111.107241
"53",53,"Braeden","2022-04-03 21:00:15",32.236148,-111.107872
"54",54,"Braeden","2022-04-03 23:00:26",32.239617,-111.106838
"55",55,"Braeden","2022-04-04 01:00:22",32.239756,-111.106887
"56",56,"Braeden","2022-04-04 05:00:10",32.240417,-111.10456
"57",57,"Braeden","2022-04-04 07:00:11",32.239382,-111.098362
"58",58,"Braeden","2022-04-04 09:00:09",32.23878,-111.097478
"59",59,"Braeden","2022-04-04 11:00:19",32.234247,-111.090229
"60",60,"Braeden","2022-04-04 13:00:24",32.234601,-111.0683
"61",61,"Braeden","2022-04-04 17:00:16",32.236956,-111.057131
"62",62,"Braeden","2022-04-04 19:00:26",32.238785,-111.049085
"63",63,"Braeden","2022-04-04 21:00:14",32.24148,-111.04469
"64",64,"Braeden","2022-04-04 23:00:20",32.246155,-111.057028
"65",65,"Braeden","2022-04-05 05:00:25",32.246191,-111.056914
"66",66,"Braeden","2022-04-05 09:00:12",32.242785,-111.058941
"67",67,"Braeden","2022-04-05 11:00:12",32.231859,-111.052179
"68",68,"Braeden","2022-04-05 15:00:14",32.238624,-111.04697
"69",69,"Braeden","2022-04-05 17:00:19",32.247779,-111.061568
"70",70,"Braeden","2022-04-05 19:00:25",32.250632,-111.0615
"71",71,"Braeden","2022-04-06 01:00:17",32.246245,-111.057065
"72",72,"Braeden","2022-04-06 07:00:12",32.244771,-111.057969
"73",73,"Braeden","2022-04-06 13:00:14",32.245978,-111.07894
"74",74,"Braeden","2022-04-06 15:00:20",32.238968,-111.096465
"75",75,"Braeden","2022-04-06 17:00:15",32.244681,-111.097357
"76",76,"Braeden","2022-04-06 19:00:13",32.242494,-111.101387
"77",77,"Braeden","2022-04-06 21:00:24",32.242176,-111.100461
