"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Morgan","2020-11-18 03:00:09",32.229811,-111.066727
"2",2,"Morgan","2020-11-18 10:00:08",32.229211,-111.066257
"3",3,"Morgan","2020-11-18 16:00:09",32.231361,-111.067899
"4",4,"Morgan","2020-11-18 22:00:14",32.225003,-111.070172
"5",5,"Morgan","2020-11-19 04:00:08",32.229107,-111.072504
"6",6,"Morgan","2020-11-19 11:00:10",32.231431,-111.064663
"7",7,"Morgan","2020-11-19 17:00:06",32.224031,-111.068201
"8",8,"Morgan","2020-11-19 23:00:09",32.225072,-111.070363
"9",9,"Morgan","2020-11-20 05:00:07",32.226446,-111.063152
"10",10,"Morgan","2020-11-20 12:00:10",32.235137,-111.041299
"11",11,"Morgan","2020-11-20 18:00:19",32.234322,-111.047611
"12",12,"Morgan","2020-11-21 00:00:24",32.224986,-111.063972
"13",13,"Morgan","2020-11-21 06:00:10",32.229929,-111.058558
"14",14,"Morgan","2020-11-21 13:00:07",32.234983,-111.040369
"15",15,"Morgan","2020-11-21 19:00:05",32.229294,-111.049928
"16",16,"Morgan","2020-11-22 07:00:09",32.231351,-111.052266
"17",17,"Morgan","2020-11-22 14:00:08",32.227874,-111.043214
"18",18,"Morgan","2020-11-22 20:00:07",32.232229,-111.047741
"19",19,"Morgan","2020-11-23 08:00:08",32.236475,-111.051346
"20",20,"Morgan","2020-11-23 15:00:09",32.242805,-111.058938
"21",21,"Morgan","2020-11-23 19:01:00",32.234353,-111.061665
"22",22,"Morgan","2020-11-23 21:00:07",32.232721,-111.055408
"23",23,"Morgan","2020-11-24 03:00:08",32.232322,-111.057806
"24",24,"Morgan","2020-11-24 16:00:15",32.236785,-111.06188
"25",25,"Morgan","2020-11-24 22:00:07",32.228935,-111.067245
"26",26,"Morgan","2020-11-25 04:00:07",32.228677,-111.067868
"27",27,"Morgan","2020-11-25 10:00:07",32.231453,-111.07145
"28",28,"Morgan","2020-11-25 17:00:07",32.242102,-111.059043
"29",29,"Morgan","2020-11-25 23:00:13",32.225786,-111.056063
"30",30,"Morgan","2020-11-26 05:00:06",32.230535,-111.052128
"31",31,"Morgan","2020-11-26 11:00:07",32.231414,-111.045574
"32",32,"Morgan","2020-11-26 18:00:07",32.235628,-111.040678
"33",33,"Morgan","2020-11-27 00:00:06",32.229003,-111.053135
"34",34,"Morgan","2020-11-27 06:00:07",32.236068,-111.052725
"35",35,"Morgan","2020-11-27 12:00:07",32.245554,-111.063754
"36",36,"Morgan","2020-11-27 19:00:08",32.234053,-111.047664
"37",37,"Morgan","2020-11-28 01:00:06",32.231257,-111.051537
"38",38,"Morgan","2020-11-28 07:00:18",32.238957,-111.063945
"39",39,"Morgan","2020-11-28 20:00:07",32.230037,-111.058902
"40",40,"Morgan","2020-11-29 02:00:06",32.228552,-111.059192
"41",41,"Morgan","2020-11-29 08:00:05",32.231246,-111.062521
"42",42,"Morgan","2020-11-29 14:00:05",32.230845,-111.05703
"43",43,"Morgan","2020-11-29 21:00:09",32.23272,-111.073713
"44",44,"Morgan","2020-11-30 03:00:09",32.235562,-111.06095
"45",45,"Morgan","2020-11-30 09:00:06",32.235682,-111.063061
"46",46,"Morgan","2020-11-30 15:00:23",32.229645,-111.061147
"47",47,"Morgan","2020-11-30 22:00:08",32.239675,-111.05609
"48",48,"Morgan","2020-11-30 23:00:51",32.242486,-111.057696
"49",49,"Morgan","2020-12-01 04:00:09",32.238296,-111.05333
"50",50,"Morgan","2020-12-01 10:00:07",32.233593,-111.045752
"51",51,"Morgan","2020-12-01 16:00:20",32.233241,-111.055928
"52",52,"Morgan","2020-12-01 23:00:09",32.239757,-111.054336
"53",53,"Morgan","2020-12-02 05:00:10",32.231703,-111.053317
"54",54,"Morgan","2020-12-02 11:00:06",32.232416,-111.046216
"55",55,"Morgan","2020-12-02 17:00:18",32.234358,-111.047007
"56",56,"Morgan","2020-12-03 00:00:06",32.230572,-111.061047
"57",57,"Morgan","2020-12-03 06:00:15",32.230362,-111.065096
"58",58,"Morgan","2020-12-03 12:00:08",32.234452,-111.058619
"59",59,"Morgan","2020-12-03 18:00:11",32.245022,-111.065126
"60",60,"Morgan","2020-12-04 07:00:08",32.238702,-111.057815
"61",61,"Morgan","2020-12-04 13:00:11",32.233422,-111.058683
"62",62,"Morgan","2020-12-04 19:00:08",32.229663,-111.050911
"63",63,"Morgan","2020-12-05 02:00:13",32.234041,-111.043667
"64",64,"Morgan","2020-12-05 08:00:08",32.233173,-111.057267
"65",65,"Morgan","2020-12-05 14:00:11",32.229841,-111.060995
"66",66,"Morgan","2020-12-05 20:00:24",32.227234,-111.064161
"67",67,"Morgan","2020-12-06 03:00:06",32.225115,-111.07033
"68",68,"Morgan","2020-12-06 09:00:07",32.233071,-111.066265
"69",69,"Morgan","2020-12-07 04:00:14",32.227646,-111.043466
"70",70,"Morgan","2020-12-07 10:00:08",32.230435,-111.040336
"71",71,"Morgan","2020-12-07 16:00:07",32.233971,-111.034962
"72",72,"Morgan","2020-12-07 22:00:06",32.227323,-111.042599
"73",73,"Morgan","2020-12-08 03:00:38",32.227315,-111.040251
"74",74,"Morgan","2020-12-08 05:00:11",32.226443,-111.040237
"75",75,"Morgan","2020-12-08 11:00:09",32.234102,-111.047985
"76",76,"Morgan","2020-12-08 23:00:07",32.230279,-111.050712
"77",77,"Morgan","2020-12-09 06:00:15",32.231915,-111.055522
"78",78,"Morgan","2020-12-09 12:00:09",32.231476,-111.060855
"79",79,"Morgan","2020-12-09 18:00:13",32.231586,-111.057483
"80",80,"Morgan","2020-12-10 00:00:08",32.228576,-111.063571
"81",81,"Morgan","2020-12-10 07:00:08",32.238153,-111.056014
"82",82,"Morgan","2020-12-10 19:00:25",32.233907,-111.058832
"83",83,"Morgan","2020-12-11 08:00:07",32.234671,-111.072557
"84",84,"Morgan","2020-12-11 20:00:08",32.240246,-111.054738
"85",85,"Morgan","2020-12-12 09:00:10",32.234139,-111.051011
"86",86,"Morgan","2020-12-12 21:00:10",32.235834,-111.052235
"87",87,"Morgan","2020-12-13 10:00:05",32.232968,-111.045127
"88",88,"Morgan","2020-12-13 22:00:13",32.234859,-111.045145
"89",89,"Morgan","2020-12-14 11:00:10",32.232489,-111.072504
"90",90,"Morgan","2020-12-14 17:00:07",32.232106,-111.055964
"91",91,"Morgan","2020-12-14 23:00:05",32.225054,-111.060723
"92",92,"Morgan","2020-12-15 05:00:08",32.22725,-111.06411
"93",93,"Morgan","2020-12-15 07:01:06",32.230319,-111.065077
"94",94,"Morgan","2020-12-15 12:00:10",32.244185,-111.064766
"95",95,"Morgan","2020-12-15 18:00:11",32.231914,-111.06279
"96",96,"Morgan","2020-12-16 00:00:08",32.224471,-111.057282
"97",97,"Morgan","2020-12-16 06:00:17",32.231334,-111.061916
"98",98,"Morgan","2020-12-16 13:00:09",32.236959,-111.0708
"99",99,"Morgan","2020-12-16 19:00:08",32.241959,-111.055751
"100",100,"Morgan","2020-12-17 01:00:12",32.232921,-111.075472
"101",101,"Morgan","2020-12-17 07:00:09",32.22987,-111.076213
"102",102,"Morgan","2020-12-17 14:00:09",32.244038,-111.058662
"103",103,"Morgan","2020-12-17 20:00:09",32.233499,-111.060782
"104",104,"Morgan","2020-12-18 02:00:09",32.232056,-111.057587
"105",105,"Morgan","2020-12-18 08:00:05",32.237204,-111.055363
"106",106,"Morgan","2020-12-18 15:00:13",32.236501,-111.054852
"107",107,"Morgan","2020-12-18 21:00:05",32.230051,-111.058117
"108",108,"Morgan","2020-12-19 03:00:10",32.227341,-111.057186
"109",109,"Morgan","2020-12-19 09:00:09",32.231694,-111.044282
"110",110,"Morgan","2020-12-19 16:00:10",32.239707,-111.059826
"111",111,"Morgan","2020-12-19 22:00:12",32.22579,-111.060688
"112",112,"Morgan","2020-12-20 04:00:14",32.224741,-111.061578
"113",113,"Morgan","2020-12-20 10:00:08",32.233474,-111.068286
"114",114,"Morgan","2020-12-20 17:00:06",32.230742,-111.044814
"115",115,"Morgan","2020-12-21 05:00:09",32.227489,-111.057297
"116",116,"Morgan","2020-12-21 18:00:11",32.233842,-111.0589
"117",117,"Morgan","2020-12-22 06:00:08",32.233119,-111.062303
"118",118,"Morgan","2020-12-22 11:00:39",32.233699,-111.06821
"119",119,"Morgan","2020-12-22 19:00:07",32.231751,-111.053983
"120",120,"Morgan","2020-12-23 07:00:08",32.229757,-111.043831
"121",121,"Morgan","2020-12-23 20:00:21",32.22894,-111.048331
"122",122,"Morgan","2020-12-24 08:00:06",32.231597,-111.048159
"123",123,"Morgan","2020-12-24 21:00:06",32.229076,-111.045894
"124",124,"Morgan","2020-12-25 09:00:06",32.241962,-111.050756
"125",125,"Morgan","2020-12-25 22:00:07",32.229694,-111.070866
"126",126,"Morgan","2020-12-26 10:00:25",32.240644,-111.058018
"127",127,"Morgan","2020-12-26 23:00:06",32.230223,-111.055196
"128",128,"Morgan","2020-12-27 11:00:07",32.234918,-111.04705
"129",129,"Morgan","2020-12-28 12:00:08",32.233781,-111.058938
"130",130,"Morgan","2020-12-29 01:00:06",32.22717,-111.061842
"131",131,"Morgan","2020-12-29 13:00:12",32.231474,-111.057437
"132",132,"Morgan","2020-12-29 15:00:48",32.231553,-111.057535
"133",133,"Morgan","2020-12-30 02:00:12",32.224763,-111.065474
"134",134,"Morgan","2020-12-30 14:00:22",32.229737,-111.072598
"135",135,"Morgan","2020-12-31 03:00:08",32.232948,-111.063202
"136",136,"Morgan","2021-01-01 04:00:09",32.233112,-111.062372
"137",137,"Morgan","2021-01-01 16:00:09",32.232687,-111.052359
"138",138,"Morgan","2021-01-02 05:00:10",32.239697,-111.052981
"139",139,"Morgan","2021-01-02 17:00:07",32.223986,-111.058072
"140",140,"Morgan","2021-01-03 06:00:09",32.230735,-111.053126
"141",141,"Morgan","2021-01-03 18:00:08",32.229668,-111.051032
"142",142,"Morgan","2021-01-04 07:00:09",32.236053,-111.052741
"143",143,"Morgan","2021-01-04 19:00:08",32.236199,-111.056934
"144",144,"Morgan","2021-01-05 08:00:07",32.230897,-111.043145
"145",145,"Morgan","2021-01-05 19:00:37",32.24137,-111.059048
"146",146,"Morgan","2021-01-05 20:00:04",32.240802,-111.057698
"147",147,"Morgan","2021-01-06 09:00:09",32.235085,-111.068005
