"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"BobbiJo","2022-03-12 21:00:10",32.209504,-111.028041
"2",2,"BobbiJo","2022-03-13 10:00:07",32.21372,-111.032564
"3",3,"BobbiJo","2022-03-13 23:00:24",32.20956,-111.027922
"4",4,"BobbiJo","2022-03-14 13:00:07",32.215732,-111.032852
"5",5,"BobbiJo","2022-03-14 19:00:10",32.218766,-111.034266
"6",6,"BobbiJo","2022-03-15 13:00:10",32.213638,-111.044062
"7",7,"BobbiJo","2022-03-15 19:00:07",32.226411,-111.029206
"8",8,"BobbiJo","2022-03-16 13:00:07",32.23087,-111.030044
"9",9,"BobbiJo","2022-03-16 19:00:08",32.217043,-111.03404
"10",10,"BobbiJo","2022-03-17 19:00:05",32.215054,-111.046167
"11",11,"BobbiJo","2022-03-18 01:00:08",32.219858,-111.044153
"12",12,"BobbiJo","2022-03-18 07:00:09",32.219842,-111.043944
"13",13,"BobbiJo","2022-03-18 13:00:07",32.21752,-111.032223
"14",14,"BobbiJo","2022-03-18 19:00:09",32.211626,-111.032948
"15",15,"BobbiJo","2022-03-18 23:00:51",32.210321,-111.030123
"16",16,"BobbiJo","2022-03-19 01:00:08",32.210284,-111.029398
"17",17,"BobbiJo","2022-03-19 13:00:08",32.210483,-111.034478
"18",18,"BobbiJo","2022-03-19 19:00:09",32.218264,-111.048768
"19",19,"BobbiJo","2022-03-20 01:00:07",32.21906,-111.049143
"20",20,"BobbiJo","2022-03-20 13:00:12",32.210773,-111.031734
"21",21,"BobbiJo","2022-03-20 19:00:07",32.217997,-111.035031
"22",22,"BobbiJo","2022-03-21 07:00:10",32.227413,-111.035672
"23",23,"BobbiJo","2022-03-21 13:00:10",32.229584,-111.018942
"24",24,"BobbiJo","2022-03-21 19:00:08",32.214752,-111.030323
"25",25,"BobbiJo","2022-03-22 01:00:10",32.211634,-111.027235
"26",26,"BobbiJo","2022-03-22 07:00:16",32.211709,-111.027237
"27",27,"BobbiJo","2022-03-22 13:00:07",32.214208,-111.047149
"28",28,"BobbiJo","2022-03-22 19:00:10",32.21588,-111.030953
"29",29,"BobbiJo","2022-03-23 01:00:09",32.219736,-111.038235
"30",30,"BobbiJo","2022-03-23 07:00:16",32.216845,-111.041866
"31",31,"BobbiJo","2022-03-23 13:00:16",32.218908,-111.042488
"32",32,"BobbiJo","2022-03-23 19:00:08",32.218349,-111.052649
"33",33,"BobbiJo","2022-03-24 01:00:24",32.218677,-111.052449
"34",34,"BobbiJo","2022-03-24 13:00:11",32.217519,-111.029555
"35",35,"BobbiJo","2022-03-24 19:00:07",32.229101,-111.027686
"36",36,"BobbiJo","2022-03-25 01:00:25",32.226802,-111.044731
"37",37,"BobbiJo","2022-03-25 13:00:10",32.22515,-111.038332
"38",38,"BobbiJo","2022-03-25 19:00:12",32.207046,-111.033299
"39",39,"BobbiJo","2022-03-26 01:00:06",32.212839,-111.040794
"40",40,"BobbiJo","2022-03-26 13:00:06",32.212424,-111.033179
"41",41,"BobbiJo","2022-03-26 19:00:11",32.209359,-111.024166
"42",42,"BobbiJo","2022-03-27 13:00:07",32.211165,-111.031813
"43",43,"BobbiJo","2022-03-27 19:00:16",32.21545,-111.047232
"44",44,"BobbiJo","2022-03-28 13:00:07",32.215129,-111.037963
"45",45,"BobbiJo","2022-03-28 19:00:08",32.211998,-111.028425
"46",46,"BobbiJo","2022-03-29 07:00:08",32.210583,-111.02791
"47",47,"BobbiJo","2022-03-29 13:00:06",32.212471,-111.035899
"48",48,"BobbiJo","2022-03-29 19:00:07",32.222327,-111.032591
"49",49,"BobbiJo","2022-03-30 01:00:08",32.227356,-111.03573
"50",50,"BobbiJo","2022-03-30 07:00:08",32.226464,-111.031029
"51",51,"BobbiJo","2022-03-30 13:00:05",32.232177,-111.018666
"52",52,"BobbiJo","2022-03-30 19:00:07",32.232098,-111.039011
"53",53,"BobbiJo","2022-03-31 01:00:06",32.217171,-111.044522
