"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Cynthia","2022-11-12 04:00:11",32.254954,-111.053037
"2",2,"Cynthia","2022-11-12 17:00:12",32.246091,-111.056806
"3",3,"Cynthia","2022-11-13 06:00:18",32.247176,-111.053233
"4",4,"Cynthia","2022-11-13 19:00:10",32.255935,-111.055735
"5",5,"Cynthia","2022-11-14 08:00:21",32.257131,-111.062324
"6",6,"Cynthia","2022-11-15 10:00:10",32.254655,-111.042379
"7",7,"Cynthia","2022-11-15 23:00:14",32.253723,-111.034852
"8",8,"Cynthia","2022-11-16 12:00:09",32.267631,-111.035433
"9",9,"Cynthia","2022-11-17 01:00:12",32.252278,-111.062212
"10",10,"Cynthia","2022-11-17 14:00:12",32.25489,-111.047419
"11",11,"Cynthia","2022-11-17 15:00:50",32.25255,-111.045411
"12",12,"Cynthia","2022-11-18 03:00:09",32.246454,-111.058034
"13",13,"Cynthia","2022-11-18 16:00:08",32.254774,-111.064812
"14",14,"Cynthia","2022-11-19 05:00:16",32.249166,-111.05874
"15",15,"Cynthia","2022-11-19 18:00:09",32.264631,-111.035148
"16",16,"Cynthia","2022-11-20 20:00:09",32.257842,-111.055681
"17",17,"Cynthia","2022-11-21 09:00:12",32.256398,-111.050398
"18",18,"Cynthia","2022-11-21 22:00:10",32.25433,-111.059832
"19",19,"Cynthia","2022-11-22 11:00:09",32.249225,-111.047865
"20",20,"Cynthia","2022-11-23 00:00:13",32.250877,-111.063373
"21",21,"Cynthia","2022-11-23 13:00:21",32.258499,-111.05552
"22",22,"Cynthia","2022-11-24 02:00:12",32.246193,-111.056954
"23",23,"Cynthia","2022-11-24 15:00:17",32.252805,-111.051615
"24",24,"Cynthia","2022-11-24 19:00:38",32.257174,-111.054423
"25",25,"Cynthia","2022-11-25 04:00:12",32.252878,-111.065487
"26",26,"Cynthia","2022-11-25 17:00:09",32.271726,-111.058906
"27",27,"Cynthia","2022-11-26 06:00:12",32.254103,-111.05921
"28",28,"Cynthia","2022-11-26 19:00:08",32.246448,-111.062633
"29",29,"Cynthia","2022-11-27 08:00:09",32.254865,-111.046846
"30",30,"Cynthia","2022-11-27 21:00:21",32.246035,-111.056796
"31",31,"Cynthia","2022-11-28 10:00:09",32.250907,-111.044627
"32",32,"Cynthia","2022-11-28 23:00:15",32.264789,-111.036687
"33",33,"Cynthia","2022-11-29 12:00:12",32.270872,-111.040319
"34",34,"Cynthia","2022-11-30 14:00:09",32.260519,-111.058417
"35",35,"Cynthia","2022-12-01 03:00:27",32.247144,-111.06211
"36",36,"Cynthia","2022-12-01 16:00:09",32.262759,-111.039172
"37",37,"Cynthia","2022-12-01 23:00:37",32.249342,-111.049681
"38",38,"Cynthia","2022-12-02 05:00:09",32.245295,-111.054866
"39",39,"Cynthia","2022-12-02 18:00:09",32.25702,-111.050613
"40",40,"Cynthia","2022-12-03 07:00:16",32.259022,-111.059171
"41",41,"Cynthia","2022-12-03 20:00:08",32.25486,-111.040291
"42",42,"Cynthia","2022-12-04 09:00:09",32.249861,-111.047065
"43",43,"Cynthia","2022-12-04 22:00:19",32.259228,-111.055603
"44",44,"Cynthia","2022-12-05 11:00:11",32.270359,-111.03785
"45",45,"Cynthia","2022-12-06 00:00:15",32.259471,-111.055666
"46",46,"Cynthia","2022-12-06 13:00:08",32.249196,-111.056497
"47",47,"Cynthia","2022-12-07 02:00:16",32.251503,-111.063519
"48",48,"Cynthia","2022-12-07 15:00:08",32.25427,-111.05048
"49",49,"Cynthia","2022-12-08 04:00:10",32.243389,-111.058596
"50",50,"Cynthia","2022-12-08 17:00:09",32.259192,-111.052974
"51",51,"Cynthia","2022-12-09 03:01:00",32.252174,-111.062846
"52",52,"Cynthia","2022-12-09 06:00:20",32.252448,-111.0627
"53",53,"Cynthia","2022-12-09 19:00:11",32.260235,-111.05061
"54",54,"Cynthia","2022-12-10 08:00:11",32.257099,-111.06185
"55",55,"Cynthia","2022-12-10 21:00:09",32.243755,-111.047162
"56",56,"Cynthia","2022-12-11 10:00:09",32.250834,-111.047593
"57",57,"Cynthia","2022-12-11 23:00:20",32.251066,-111.066283
"58",58,"Cynthia","2022-12-12 12:00:07",32.253135,-111.050602
"59",59,"Cynthia","2022-12-13 01:00:26",32.24634,-111.055502
"60",60,"Cynthia","2022-12-13 14:00:25",32.250409,-111.056527
"61",61,"Cynthia","2022-12-14 03:00:10",32.245969,-111.047189
"62",62,"Cynthia","2022-12-14 16:00:10",32.261106,-111.054047
"63",63,"Cynthia","2022-12-15 05:00:09",32.257292,-111.060863
"64",64,"Cynthia","2022-12-15 18:00:13",32.251103,-111.049639
"65",65,"Cynthia","2022-12-16 07:00:55",32.250318,-111.05893
"66",66,"Cynthia","2022-12-16 20:00:09",32.285851,-111.067355
"67",67,"Cynthia","2022-12-17 09:00:09",32.274744,-111.061552
"68",68,"Cynthia","2022-12-17 22:00:11",32.254687,-111.060751
"69",69,"Cynthia","2022-12-18 11:00:12",32.248236,-111.047222
"70",70,"Cynthia","2022-12-19 00:00:11",32.246201,-111.055039
"71",71,"Cynthia","2022-12-19 13:00:10",32.25636,-111.050057
"72",72,"Cynthia","2022-12-20 02:00:23",32.246062,-111.056805
"73",73,"Cynthia","2022-12-20 15:00:09",32.261209,-111.060745
"74",74,"Cynthia","2022-12-21 17:00:10",32.251254,-111.049746
"75",75,"Cynthia","2022-12-22 06:00:26",32.246078,-111.056967
"76",76,"Cynthia","2022-12-22 19:00:10",32.256633,-111.051319
"77",77,"Cynthia","2022-12-23 08:00:13",32.254379,-111.059879
"78",78,"Cynthia","2022-12-23 11:00:50",32.258375,-111.057932
"79",79,"Cynthia","2022-12-23 21:00:08",32.251996,-111.044838
"80",80,"Cynthia","2022-12-24 10:00:09",32.249826,-111.064264
"81",81,"Cynthia","2022-12-24 23:00:13",32.253047,-111.053699
"82",82,"Cynthia","2022-12-25 12:00:13",32.261733,-111.039702
"83",83,"Cynthia","2022-12-26 01:00:19",32.258549,-111.056516
"84",84,"Cynthia","2022-12-26 14:00:12",32.265797,-111.04099
"85",85,"Cynthia","2022-12-27 16:00:09",32.249867,-111.048274
"86",86,"Cynthia","2022-12-28 18:00:09",32.259942,-111.040392
"87",87,"Cynthia","2022-12-29 07:00:07",32.262911,-111.039282
"88",88,"Cynthia","2022-12-29 20:00:15",32.251954,-111.046037
"89",89,"Cynthia","2022-12-30 09:00:18",32.25659,-111.049225
"90",90,"Cynthia","2022-12-30 15:00:36",32.26271,-111.043373
"91",91,"Cynthia","2022-12-30 22:00:17",32.251112,-111.066237
"92",92,"Cynthia","2022-12-31 11:00:08",32.257292,-111.052605
"93",93,"Cynthia","2023-01-01 13:00:10",32.251125,-111.049562
"94",94,"Cynthia","2023-01-02 02:00:09",32.247476,-111.056284
"95",95,"Cynthia","2023-01-02 15:00:15",32.256692,-111.049154
"96",96,"Cynthia","2023-01-03 17:00:08",32.264361,-111.031356
"97",97,"Cynthia","2023-01-04 19:00:07",32.269366,-111.040386
"98",98,"Cynthia","2023-01-05 08:00:12",32.255478,-111.041995
"99",99,"Cynthia","2023-01-05 21:00:15",32.262296,-111.037821
"100",100,"Cynthia","2023-01-06 10:00:16",32.261654,-111.046553
"101",101,"Cynthia","2023-01-06 19:02:27",32.25683,-111.03509
"102",102,"Cynthia","2023-01-06 23:00:24",32.266128,-111.039996
"103",103,"Cynthia","2023-01-07 12:00:13",32.261176,-111.036604
"104",104,"Cynthia","2023-01-08 01:00:28",32.262462,-111.048382
"105",105,"Cynthia","2023-01-08 14:00:13",32.262543,-111.03876
"106",106,"Cynthia","2023-01-09 03:00:10",32.260675,-111.044541
"107",107,"Cynthia","2023-01-09 16:00:11",32.255229,-111.040854
"108",108,"Cynthia","2023-01-10 05:00:21",32.248647,-111.062689
"109",109,"Cynthia","2023-01-10 18:00:09",32.265941,-111.036622
"110",110,"Cynthia","2023-01-11 07:00:13",32.264261,-111.038316
"111",111,"Cynthia","2023-01-11 20:00:10",32.263077,-111.037321
"112",112,"Cynthia","2023-01-12 09:00:14",32.269597,-111.03635
"113",113,"Cynthia","2023-01-12 22:00:17",32.246067,-111.056876
"114",114,"Cynthia","2023-01-13 11:00:09",32.262549,-111.037649
"115",115,"Cynthia","2023-01-13 23:00:55",32.260585,-111.036077
"116",116,"Cynthia","2023-01-14 00:00:10",32.260674,-111.035888
"117",117,"Cynthia","2023-01-14 13:00:12",32.259956,-111.044881
"118",118,"Cynthia","2023-01-15 02:00:16",32.251104,-111.066303
"119",119,"Cynthia","2023-01-15 15:00:13",32.257395,-111.042836
"120",120,"Cynthia","2023-01-16 04:00:15",32.256858,-111.035981
"121",121,"Cynthia","2023-01-16 17:00:17",32.272386,-111.030913
"122",122,"Cynthia","2023-01-17 06:00:11",32.265935,-111.045541
"123",123,"Cynthia","2023-01-17 19:00:13",32.252172,-111.047878
"124",124,"Cynthia","2023-01-18 08:00:14",32.249354,-111.049609
"125",125,"Cynthia","2023-01-18 21:00:10",32.276052,-111.026121
"126",126,"Cynthia","2023-01-19 10:00:09",32.262372,-111.042296
"127",127,"Cynthia","2023-01-19 23:00:12",32.25596,-111.055495
"128",128,"Cynthia","2023-01-20 12:00:09",32.268847,-111.03629
"129",129,"Cynthia","2023-01-21 03:01:01",32.256841,-111.035637
"130",130,"Cynthia","2023-01-21 14:00:11",32.276521,-111.032757
"131",131,"Cynthia","2023-01-22 16:00:19",32.256998,-111.041118
"132",132,"Cynthia","2023-01-23 05:00:12",32.267796,-111.037835
"133",133,"Cynthia","2023-01-23 18:00:10",32.253163,-111.063999
"134",134,"Cynthia","2023-01-24 07:00:11",32.246351,-111.055946
"135",135,"Cynthia","2023-01-24 20:00:18",32.26902,-111.037551
"136",136,"Cynthia","2023-01-25 09:00:09",32.265628,-111.043891
"137",137,"Cynthia","2023-01-25 22:00:25",32.24631,-111.055068
"138",138,"Cynthia","2023-01-26 11:00:10",32.259894,-111.046686
"139",139,"Cynthia","2023-01-27 13:00:10",32.256709,-111.049255
"140",140,"Cynthia","2023-01-28 02:00:24",32.259311,-111.039205
"141",141,"Cynthia","2023-01-28 07:01:25",32.25933,-111.039156
"142",142,"Cynthia","2023-01-28 15:00:14",32.270421,-111.027163
"143",143,"Cynthia","2023-01-29 17:00:12",32.256867,-111.0491
"144",144,"Cynthia","2023-01-30 06:00:09",32.258673,-111.04074
"145",145,"Cynthia","2023-01-30 19:00:07",32.248946,-111.066994
"146",146,"Cynthia","2023-01-31 08:00:07",32.2658,-111.04454
"147",147,"Cynthia","2023-01-31 21:00:08",32.258351,-111.032102
