"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Daphne","2023-01-21 21:00:23",32.204563,-111.03417
"2",2,"Daphne","2023-01-21 23:00:22",32.208504,-111.043511
"3",3,"Daphne","2023-01-22 03:00:25",32.196904,-111.039752
"4",4,"Daphne","2023-01-22 05:00:09",32.198396,-111.040328
"5",5,"Daphne","2023-01-22 07:00:11",32.201147,-111.038706
"6",6,"Daphne","2023-01-22 09:00:22",32.203303,-111.034418
"7",7,"Daphne","2023-01-22 11:00:07",32.205411,-111.036821
"8",8,"Daphne","2023-01-22 13:00:09",32.206738,-111.039
"9",9,"Daphne","2023-01-22 15:00:12",32.209676,-111.044644
"10",10,"Daphne","2023-01-22 17:00:15",32.21427,-111.049377
"11",11,"Daphne","2023-01-22 19:00:10",32.215466,-111.048078
"12",12,"Daphne","2023-01-22 21:00:11",32.215467,-111.047912
"13",13,"Daphne","2023-01-22 23:00:24",32.211929,-111.047672
"14",14,"Daphne","2023-01-23 05:00:09",32.207493,-111.049401
"15",15,"Daphne","2023-01-23 07:00:15",32.209096,-111.043645
"16",16,"Daphne","2023-01-23 09:00:09",32.211863,-111.04887
"17",17,"Daphne","2023-01-23 11:00:23",32.214773,-111.050189
"18",18,"Daphne","2023-01-23 15:00:12",32.208558,-111.040637
"19",19,"Daphne","2023-01-23 17:00:14",32.202754,-111.03767
"20",20,"Daphne","2023-01-23 19:00:11",32.202779,-111.037712
"21",21,"Daphne","2023-01-23 21:00:15",32.201817,-111.029342
"22",22,"Daphne","2023-01-23 23:00:12",32.200571,-111.027242
"23",23,"Daphne","2023-01-24 01:00:19",32.205053,-111.02266
"24",24,"Daphne","2023-01-24 03:00:16",32.205149,-111.022724
"25",25,"Daphne","2023-01-24 05:00:11",32.204686,-111.023477
"26",26,"Daphne","2023-01-24 07:00:07",32.200722,-111.02713
"27",27,"Daphne","2023-01-24 09:00:09",32.196618,-111.033941
"28",28,"Daphne","2023-01-24 11:00:13",32.201654,-111.038056
"29",29,"Daphne","2023-01-24 13:00:07",32.202804,-111.037691
"30",30,"Daphne","2023-01-24 15:00:26",32.202805,-111.037665
"31",31,"Daphne","2023-01-24 17:00:09",32.204957,-111.033221
"32",32,"Daphne","2023-01-24 19:00:12",32.207076,-111.037071
"33",33,"Daphne","2023-01-24 21:00:18",32.201611,-111.027172
"34",34,"Daphne","2023-01-25 01:00:25",32.205105,-111.022602
"35",35,"Daphne","2023-01-25 03:00:10",32.205067,-111.022533
"36",36,"Daphne","2023-01-25 05:00:11",32.200638,-111.027169
"37",37,"Daphne","2023-01-25 07:00:10",32.200655,-111.027187
"38",38,"Daphne","2023-01-25 09:00:12",32.201043,-111.03194
"39",39,"Daphne","2023-01-25 11:00:14",32.202064,-111.033341
"40",40,"Daphne","2023-01-25 15:00:14",32.202067,-111.03335
"41",41,"Daphne","2023-01-25 17:00:21",32.202192,-111.033407
"42",42,"Daphne","2023-01-25 19:00:16",32.201981,-111.033332
"43",43,"Daphne","2023-01-25 23:00:11",32.204997,-111.034965
"44",44,"Daphne","2023-01-26 01:00:05",32.2048,-111.037651
"45",45,"Daphne","2023-01-26 03:00:24",32.205821,-111.03603
"46",46,"Daphne","2023-01-26 05:00:16",32.204656,-111.035199
"47",47,"Daphne","2023-01-26 07:00:24",32.203298,-111.035219
"48",48,"Daphne","2023-01-26 09:00:05",32.200744,-111.046469
"49",49,"Daphne","2023-01-26 11:00:13",32.20781,-111.044636
"50",50,"Daphne","2023-01-26 13:00:09",32.209491,-111.042942
"51",51,"Daphne","2023-01-26 15:00:13",32.207132,-111.043337
"52",52,"Daphne","2023-01-26 17:00:08",32.209661,-111.048538
"53",53,"Daphne","2023-01-26 21:00:08",32.210308,-111.048864
"54",54,"Daphne","2023-01-26 23:00:22",32.21176,-111.047748
"55",55,"Daphne","2023-01-27 01:00:24",32.215961,-111.048986
"56",56,"Daphne","2023-01-27 05:00:12",32.21597,-111.049038
"57",57,"Daphne","2023-01-27 07:00:14",32.214861,-111.049931
"58",58,"Daphne","2023-01-27 11:00:13",32.205489,-111.037098
"59",59,"Daphne","2023-01-27 13:00:20",32.20819,-111.040568
"60",60,"Daphne","2023-01-27 15:00:14",32.208424,-111.044234
"61",61,"Daphne","2023-01-27 17:00:10",32.200563,-111.047749
"62",62,"Daphne","2023-01-27 23:00:11",32.200467,-111.027188
"63",63,"Daphne","2023-01-28 03:00:21",32.200643,-111.027477
"64",64,"Daphne","2023-01-28 07:00:37",32.200676,-111.027086
"65",65,"Daphne","2023-01-28 09:00:09",32.198029,-111.034056
"66",66,"Daphne","2023-01-28 11:00:12",32.198635,-111.034576
"67",67,"Daphne","2023-01-28 13:00:13",32.198666,-111.034537
"68",68,"Daphne","2023-01-28 15:00:15",32.198688,-111.034563
"69",69,"Daphne","2023-01-28 17:00:09",32.194769,-111.041573
"70",70,"Daphne","2023-01-28 19:00:20",32.205653,-111.051828
"71",71,"Daphne","2023-01-28 21:00:16",32.206623,-111.050822
"72",72,"Daphne","2023-01-28 23:00:22",32.209638,-111.043359
"73",73,"Daphne","2023-01-29 01:00:13",32.209772,-111.043361
"74",74,"Daphne","2023-01-29 05:00:10",32.209688,-111.043426
"75",75,"Daphne","2023-01-29 07:00:12",32.211558,-111.043102
"76",76,"Daphne","2023-01-29 09:00:10",32.214418,-111.047835
"77",77,"Daphne","2023-01-29 11:00:19",32.214978,-111.049777
"78",78,"Daphne","2023-01-29 13:00:09",32.215338,-111.051749
"79",79,"Daphne","2023-01-29 15:00:08",32.213782,-111.051345
"80",80,"Daphne","2023-01-29 17:00:14",32.213289,-111.047558
"81",81,"Daphne","2023-01-29 21:00:07",32.208956,-111.038661
"82",82,"Daphne","2023-01-29 23:00:24",32.203223,-111.035316
"83",83,"Daphne","2023-01-30 03:00:16",32.205003,-111.022504
"84",84,"Daphne","2023-01-30 05:00:10",32.20381,-111.02473
"85",85,"Daphne","2023-01-30 07:00:11",32.200683,-111.027223
"86",86,"Daphne","2023-01-30 09:00:06",32.200372,-111.020129
"87",87,"Daphne","2023-01-30 11:00:15",32.203415,-111.021565
"88",88,"Daphne","2023-01-30 13:00:10",32.203382,-111.02155
"89",89,"Daphne","2023-01-30 15:00:13",32.203394,-111.021519
"90",90,"Daphne","2023-01-30 17:00:06",32.203091,-111.023205
"91",91,"Daphne","2023-01-30 19:00:07",32.206882,-111.02713
"92",92,"Daphne","2023-01-30 21:00:15",32.200853,-111.027232
"93",93,"Daphne","2023-01-30 23:00:09",32.200715,-111.027113
"94",94,"Daphne","2023-01-31 01:00:24",32.200654,-111.027171
"95",95,"Daphne","2023-01-31 03:00:17",32.200647,-111.027142
"96",96,"Daphne","2023-01-31 07:00:11",32.200616,-111.027117
"97",97,"Daphne","2023-01-31 09:00:18",32.201773,-111.037786
"98",98,"Daphne","2023-01-31 11:00:10",32.210179,-111.044457
"99",99,"Daphne","2023-01-31 13:00:10",32.210468,-111.046835
"100",100,"Daphne","2023-01-31 15:00:08",32.209504,-111.049208
"101",101,"Daphne","2023-01-31 17:00:09",32.209465,-111.049276
"102",102,"Daphne","2023-01-31 21:00:11",32.197815,-111.037188
"103",103,"Daphne","2023-01-31 23:00:10",32.197786,-111.037191
"104",104,"Daphne","2023-02-01 01:00:12",32.200532,-111.027284
"105",105,"Daphne","2023-02-01 03:00:13",32.205101,-111.02316
"106",106,"Daphne","2023-02-01 05:00:11",32.205059,-111.02268
"107",107,"Daphne","2023-02-01 07:00:13",32.203424,-111.017813
"108",108,"Daphne","2023-02-01 09:00:12",32.202584,-111.022576
"109",109,"Daphne","2023-02-01 11:00:09",32.205361,-111.033197
"110",110,"Daphne","2023-02-01 13:00:10",32.204834,-111.033256
"111",111,"Daphne","2023-02-01 15:00:17",32.204797,-111.033322
"112",112,"Daphne","2023-02-01 17:00:04",32.203338,-111.035185
"113",113,"Daphne","2023-02-01 21:00:10",32.207426,-111.038189
"114",114,"Daphne","2023-02-01 23:00:24",32.204846,-111.035143
"115",115,"Daphne","2023-02-02 01:00:25",32.204722,-111.035292
"116",116,"Daphne","2023-02-02 03:00:19",32.205075,-111.022688
"117",117,"Daphne","2023-02-02 05:00:26",32.205058,-111.022668
"118",118,"Daphne","2023-02-02 07:00:25",32.200696,-111.027085
"119",119,"Daphne","2023-02-02 09:00:03",32.197798,-111.031355
"120",120,"Daphne","2023-02-02 11:00:12",32.206057,-111.045276
"121",121,"Daphne","2023-02-02 13:00:11",32.209077,-111.044475
"122",122,"Daphne","2023-02-02 15:00:16",32.21226,-111.045201
"123",123,"Daphne","2023-02-02 17:00:09",32.214453,-111.048025
"124",124,"Daphne","2023-02-02 19:00:15",32.211804,-111.051215
"125",125,"Daphne","2023-02-02 21:00:04",32.208913,-111.039287
"126",126,"Daphne","2023-02-02 23:00:23",32.203131,-111.035287
"127",127,"Daphne","2023-02-03 05:00:10",32.205162,-111.023098
"128",128,"Daphne","2023-02-03 07:00:13",32.205359,-111.020811
"129",129,"Daphne","2023-02-03 09:00:15",32.202991,-111.023263
"130",130,"Daphne","2023-02-03 11:00:09",32.203038,-111.024296
"131",131,"Daphne","2023-02-03 13:00:07",32.203046,-111.024277
"132",132,"Daphne","2023-02-03 15:00:08",32.19809,-111.028949
"133",133,"Daphne","2023-02-03 21:00:06",32.200651,-111.027229
"134",134,"Daphne","2023-02-04 01:00:24",32.198289,-111.022585
"135",135,"Daphne","2023-02-04 03:00:20",32.198194,-111.022478
"136",136,"Daphne","2023-02-04 05:00:09",32.197948,-111.024404
"137",137,"Daphne","2023-02-04 07:00:13",32.200668,-111.027164
"138",138,"Daphne","2023-02-04 09:00:07",32.207136,-111.034492
"139",139,"Daphne","2023-02-04 11:02:42",32.207403,-111.045207
"140",140,"Daphne","2023-02-04 13:00:16",32.207449,-111.050989
"141",141,"Daphne","2023-02-04 15:00:22",32.207279,-111.051059
"142",142,"Daphne","2023-02-04 17:00:11",32.20727,-111.051094
"143",143,"Daphne","2023-02-04 19:00:10",32.210176,-111.048728
"144",144,"Daphne","2023-02-04 21:00:11",32.208012,-111.040421
"145",145,"Daphne","2023-02-05 03:00:19",32.204854,-111.035496
"146",146,"Daphne","2023-02-05 05:00:26",32.205157,-111.037488
"147",147,"Daphne","2023-02-05 09:00:19",32.209407,-111.04697
"148",148,"Daphne","2023-02-05 11:00:12",32.214429,-111.047303
"149",149,"Daphne","2023-02-05 13:00:14",32.215564,-111.048717
"150",150,"Daphne","2023-02-05 15:00:10",32.21567,-111.048559
"151",151,"Daphne","2023-02-05 17:00:12",32.215532,-111.048505
"152",152,"Daphne","2023-02-05 21:00:11",32.21393,-111.046582
"153",153,"Daphne","2023-02-05 23:00:25",32.211948,-111.047938
"154",154,"Daphne","2023-02-06 01:00:09",32.211182,-111.046813
"155",155,"Daphne","2023-02-06 03:00:10",32.209267,-111.044576
"156",156,"Daphne","2023-02-06 05:00:12",32.208351,-111.044807
"157",157,"Daphne","2023-02-06 07:00:11",32.205631,-111.045546
"158",158,"Daphne","2023-02-06 09:00:19",32.206804,-111.051257
"159",159,"Daphne","2023-02-06 11:00:13",32.208261,-111.050353
"160",160,"Daphne","2023-02-06 13:00:12",32.208135,-111.050074
"161",161,"Daphne","2023-02-06 15:00:09",32.208068,-111.050031
"162",162,"Daphne","2023-02-06 19:00:11",32.210188,-111.050319
"163",163,"Daphne","2023-02-06 21:00:16",32.207257,-111.036974
