"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Dave","2020-11-21 00:00:08",32.213337,-111.042188
"2",2,"Dave","2020-11-21 06:00:16",32.212489,-111.041355
"3",3,"Dave","2020-11-21 13:00:10",32.21926,-111.009305
"4",4,"Dave","2020-11-21 19:00:26",32.218874,-111.008427
"5",5,"Dave","2020-11-22 01:00:11",32.216701,-111.00858
"6",6,"Dave","2020-11-22 07:00:10",32.216804,-110.991709
"7",7,"Dave","2020-11-22 14:00:10",32.21565,-110.993551
"8",8,"Dave","2020-11-22 20:00:10",32.216818,-111.000457
"9",9,"Dave","2020-11-23 08:00:10",32.212015,-111.008188
"10",10,"Dave","2020-11-23 15:00:26",32.214099,-110.988836
"11",11,"Dave","2020-11-23 19:01:37",32.219537,-110.988902
"12",12,"Dave","2020-11-23 21:00:16",32.220344,-111.00555
"13",13,"Dave","2020-11-24 03:00:25",32.217603,-111.007712
"14",14,"Dave","2020-11-24 16:00:18",32.211049,-111.047398
"15",15,"Dave","2020-11-24 22:00:12",32.224294,-111.030294
"16",16,"Dave","2020-11-25 04:00:25",32.223831,-111.03666
"17",17,"Dave","2020-11-25 10:00:10",32.221688,-110.999677
"18",18,"Dave","2020-11-25 17:00:25",32.216608,-110.993989
"19",19,"Dave","2020-11-26 05:00:25",32.212705,-111.00976
"20",20,"Dave","2020-11-26 11:00:16",32.209126,-111.021568
"21",21,"Dave","2020-11-26 18:00:21",32.221184,-111.028174
"22",22,"Dave","2020-11-27 00:00:23",32.214175,-110.988561
"23",23,"Dave","2020-11-27 06:00:18",32.215975,-110.991715
"24",24,"Dave","2020-11-27 12:00:14",32.208727,-110.991801
"25",25,"Dave","2020-11-27 19:00:11",32.207767,-110.995763
"26",26,"Dave","2020-11-28 01:00:09",32.215132,-111.036797
"27",27,"Dave","2020-11-28 07:00:14",32.228187,-111.029709
"28",28,"Dave","2020-11-28 13:00:12",32.21514,-110.990845
"29",29,"Dave","2020-11-28 20:00:18",32.2171,-110.991722
"30",30,"Dave","2020-11-29 08:00:10",32.216431,-111.01659
"31",31,"Dave","2020-11-29 14:00:11",32.21312,-111.041429
"32",32,"Dave","2020-11-29 21:00:07",32.217939,-111.036927
