"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Hal","2020-11-20 05:00:11",32.240869,-111.055303
"2",2,"Hal","2020-11-20 12:00:05",32.236517,-111.054044
"3",3,"Hal","2020-11-20 18:00:07",32.230514,-111.046828
"4",4,"Hal","2020-11-21 00:00:04",32.230376,-111.056809
"5",5,"Hal","2020-11-21 06:00:14",32.237151,-111.057037
"6",6,"Hal","2020-11-21 13:00:08",32.254824,-111.045307
"7",7,"Hal","2020-11-21 19:00:08",32.252229,-111.036924
"8",8,"Hal","2020-11-22 07:00:06",32.248569,-111.04461
"9",9,"Hal","2020-11-22 14:00:06",32.252857,-111.037292
"10",10,"Hal","2020-11-22 20:00:07",32.243002,-111.042765
"11",11,"Hal","2020-11-23 02:00:05",32.237157,-111.04883
"12",12,"Hal","2020-11-23 08:00:04",32.239716,-111.055045
"13",13,"Hal","2020-11-23 15:00:05",32.229765,-111.043576
"14",14,"Hal","2020-11-23 19:00:36",32.232251,-111.050153
"15",15,"Hal","2020-11-23 21:00:12",32.232594,-111.057888
"16",16,"Hal","2020-11-24 03:00:21",32.23162,-111.056898
"17",17,"Hal","2020-11-24 09:00:08",32.238068,-111.056717
"18",18,"Hal","2020-11-24 16:00:13",32.247725,-111.037857
"19",19,"Hal","2020-11-24 22:00:12",32.237141,-111.047989
"20",20,"Hal","2020-11-25 04:00:25",32.237133,-111.047989
"21",21,"Hal","2020-11-25 10:00:08",32.231485,-111.053782
"22",22,"Hal","2020-11-25 17:00:20",32.263185,-111.068235
"23",23,"Hal","2020-11-25 23:00:09",32.266905,-111.086094
"24",24,"Hal","2020-11-26 05:00:07",32.26575,-111.084543
"25",25,"Hal","2020-11-26 11:00:07",32.266823,-111.082562
"26",26,"Hal","2020-11-26 18:00:06",32.269939,-111.092779
"27",27,"Hal","2020-11-27 00:00:07",32.271875,-111.104943
"28",28,"Hal","2020-11-27 12:00:07",32.268613,-111.091033
"29",29,"Hal","2020-11-27 19:00:12",32.280972,-111.080214
"30",30,"Hal","2020-11-28 01:00:11",32.266312,-111.074694
"31",31,"Hal","2020-11-28 07:00:06",32.264789,-111.074648
"32",32,"Hal","2020-11-28 13:00:06",32.266643,-111.077942
"33",33,"Hal","2020-11-28 20:00:06",32.264839,-111.082185
"34",34,"Hal","2020-11-29 02:00:09",32.259846,-111.084424
"35",35,"Hal","2020-11-29 08:00:07",32.26811,-111.081218
"36",36,"Hal","2020-11-29 14:00:25",32.271952,-111.071905
"37",37,"Hal","2020-11-29 21:00:10",32.249108,-111.045587
"38",38,"Hal","2020-11-30 03:00:06",32.241341,-111.053033
"39",39,"Hal","2020-11-30 09:00:05",32.232781,-111.05485
"40",40,"Hal","2020-11-30 15:00:05",32.230902,-111.04316
"41",41,"Hal","2020-11-30 22:00:12",32.22989,-111.057994
"42",42,"Hal","2020-11-30 23:04:08",32.227347,-111.052964
"43",43,"Hal","2020-12-01 10:00:07",32.230069,-111.042561
"44",44,"Hal","2020-12-01 16:00:08",32.247676,-111.03965
