"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Rocky","2023-01-30 11:00:09",32.253734,-111.065516
"2",2,"Rocky","2023-01-31 00:00:13",32.271531,-111.087543
"3",3,"Rocky","2023-01-31 13:00:10",32.262562,-111.064851
"4",4,"Rocky","2023-02-01 02:00:10",32.257884,-111.090202
"5",5,"Rocky","2023-02-01 15:00:09",32.258235,-111.08557
"6",6,"Rocky","2023-02-01 17:00:15",32.269982,-111.086439
"7",7,"Rocky","2023-02-01 21:00:13",32.274462,-111.076981
"8",8,"Rocky","2023-02-01 23:00:08",32.275116,-111.077808
"9",9,"Rocky","2023-02-02 01:00:19",32.27415,-111.075159
"10",10,"Rocky","2023-02-02 05:00:11",32.274168,-111.074978
"11",11,"Rocky","2023-02-02 07:00:09",32.269631,-111.076879
"12",12,"Rocky","2023-02-02 09:00:09",32.263435,-111.072311
"13",13,"Rocky","2023-02-02 11:00:11",32.261112,-111.085002
"14",14,"Rocky","2023-02-02 13:00:08",32.257998,-111.091206
"15",15,"Rocky","2023-02-02 15:00:12",32.260599,-111.085594
"16",16,"Rocky","2023-02-02 17:00:16",32.257462,-111.084324
"17",17,"Rocky","2023-02-02 21:00:11",32.257053,-111.087446
"18",18,"Rocky","2023-02-02 23:00:12",32.257479,-111.087236
"19",19,"Rocky","2023-02-03 03:00:10",32.257284,-111.087434
"20",20,"Rocky","2023-02-03 09:00:07",32.273629,-111.076051
"21",21,"Rocky","2023-02-03 11:00:20",32.273651,-111.075941
"22",22,"Rocky","2023-02-03 13:00:12",32.261969,-111.063557
"23",23,"Rocky","2023-02-03 15:00:07",32.252847,-111.065809
"24",24,"Rocky","2023-02-03 17:00:14",32.260721,-111.08536
"25",25,"Rocky","2023-02-04 08:00:12",32.275513,-111.077023
"26",26,"Rocky","2023-02-04 11:01:25",32.27641,-111.054778
"27",27,"Rocky","2023-02-04 21:00:12",32.260065,-111.083958
"28",28,"Rocky","2023-02-05 10:00:08",32.276264,-111.077923
"29",29,"Rocky","2023-02-05 23:00:12",32.280278,-111.082056
"30",30,"Rocky","2023-02-06 12:00:08",32.274595,-111.076814
"31",31,"Rocky","2023-02-07 01:00:24",32.273943,-111.081636
"32",32,"Rocky","2023-02-08 03:00:18",32.27151,-111.080805
"33",33,"Rocky","2023-02-08 16:00:11",32.256454,-111.063167
"34",34,"Rocky","2023-02-09 05:00:07",32.261107,-111.081399
"35",35,"Rocky","2023-02-09 07:00:12",32.266636,-111.075603
"36",36,"Rocky","2023-02-09 09:00:07",32.262586,-111.065937
"37",37,"Rocky","2023-02-09 11:00:10",32.26152,-111.062056
"38",38,"Rocky","2023-02-09 13:00:17",32.2581,-111.080179
"39",39,"Rocky","2023-02-09 15:00:18",32.25956,-111.084
"40",40,"Rocky","2023-02-09 17:00:12",32.269045,-111.077087
"41",41,"Rocky","2023-02-09 19:00:09",32.260033,-111.08394
"42",42,"Rocky","2023-02-09 21:00:10",32.260071,-111.083924
"43",43,"Rocky","2023-02-09 23:00:25",32.259557,-111.083582
"44",44,"Rocky","2023-02-10 01:00:26",32.258577,-111.085238
"45",45,"Rocky","2023-02-10 03:00:25",32.256262,-111.085368
"46",46,"Rocky","2023-02-10 05:00:08",32.262151,-111.078421
"47",47,"Rocky","2023-02-10 07:00:09",32.265684,-111.071065
"48",48,"Rocky","2023-02-10 09:00:07",32.270451,-111.061858
"49",49,"Rocky","2023-02-10 11:00:17",32.272919,-111.06586
"50",50,"Rocky","2023-02-10 13:00:10",32.265678,-111.080843
"51",51,"Rocky","2023-02-10 17:00:10",32.26082,-111.077499
"52",52,"Rocky","2023-02-10 19:00:08",32.252802,-111.063754
"53",53,"Rocky","2023-02-10 21:00:10",32.252724,-111.066074
"54",54,"Rocky","2023-02-11 05:00:17",32.252987,-111.06607
"55",55,"Rocky","2023-02-11 09:00:19",32.261946,-111.066482
"56",56,"Rocky","2023-02-11 15:01:04",32.269179,-111.076493
"57",57,"Rocky","2023-02-11 22:00:10",32.260024,-111.0835
