"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Sweetwater","2021-02-12 08:00:11",32.268238,-111.080103
"2",2,"Sweetwater","2021-02-12 21:00:09",32.269394,-111.074177
"3",3,"Sweetwater","2021-02-13 09:00:07",32.273756,-111.070534
"4",4,"Sweetwater","2021-02-13 22:00:22",32.270176,-111.073441
"5",5,"Sweetwater","2021-02-14 10:00:06",32.274808,-111.078774
"6",6,"Sweetwater","2021-02-14 23:00:24",32.261686,-111.077088
"7",7,"Sweetwater","2021-02-15 05:00:09",32.264375,-111.078604
"8",8,"Sweetwater","2021-02-15 11:00:25",32.273525,-111.072963
"9",9,"Sweetwater","2021-02-15 17:00:10",32.281387,-111.065416
"10",10,"Sweetwater","2021-02-16 00:00:08",32.279391,-111.062557
"11",11,"Sweetwater","2021-02-16 06:00:05",32.273345,-111.063503
"12",12,"Sweetwater","2021-02-16 12:00:10",32.280147,-111.076604
"13",13,"Sweetwater","2021-02-16 18:00:05",32.279795,-111.062765
"14",14,"Sweetwater","2021-02-17 07:00:11",32.267271,-111.076608
"15",15,"Sweetwater","2021-02-17 13:00:07",32.264983,-111.0931
"16",16,"Sweetwater","2021-02-17 19:00:37",32.263911,-111.099957
"17",17,"Sweetwater","2021-02-18 02:00:10",32.268271,-111.104543
"18",18,"Sweetwater","2021-02-18 08:00:08",32.26852,-111.102598
"19",19,"Sweetwater","2021-02-18 14:00:08",32.264388,-111.100264
"20",20,"Sweetwater","2021-02-19 03:00:09",32.260569,-111.084187
"21",21,"Sweetwater","2021-02-19 15:00:09",32.268523,-111.087164
"22",22,"Sweetwater","2021-02-19 21:00:07",32.263781,-111.080406
"23",23,"Sweetwater","2021-02-20 04:00:09",32.261326,-111.074551
"24",24,"Sweetwater","2021-02-20 16:00:07",32.282951,-111.066256
"25",25,"Sweetwater","2021-02-20 22:00:11",32.27771,-111.059757
"26",26,"Sweetwater","2021-02-21 05:00:07",32.275287,-111.062608
"27",27,"Sweetwater","2021-02-21 17:00:06",32.263948,-111.07995
"28",28,"Sweetwater","2021-02-21 23:00:17",32.263908,-111.079995
"29",29,"Sweetwater","2021-02-22 06:00:07",32.263966,-111.080034
"30",30,"Sweetwater","2021-02-22 12:00:25",32.260296,-111.077808
"31",31,"Sweetwater","2021-02-23 07:00:08",32.256537,-111.074057
"32",32,"Sweetwater","2021-02-23 13:00:13",32.263609,-111.081589
"33",33,"Sweetwater","2021-02-23 19:00:07",32.263566,-111.078083
"34",34,"Sweetwater","2021-02-24 01:00:09",32.255442,-111.072548
"35",35,"Sweetwater","2021-02-24 08:00:07",32.261641,-111.078178
"36",36,"Sweetwater","2021-02-24 14:00:06",32.262541,-111.086904
"37",37,"Sweetwater","2021-02-24 20:00:04",32.265987,-111.091328
"38",38,"Sweetwater","2021-02-24 23:01:18",32.268342,-111.088627
"39",39,"Sweetwater","2021-02-25 02:00:09",32.268304,-111.08855
"40",40,"Sweetwater","2021-02-25 09:00:12",32.271329,-111.088736
"41",41,"Sweetwater","2021-02-25 21:00:08",32.259568,-111.07404
"42",42,"Sweetwater","2021-02-26 10:00:17",32.263303,-111.078513
"43",43,"Sweetwater","2021-02-26 22:00:26",32.261639,-111.07703
"44",44,"Sweetwater","2021-02-27 11:00:06",32.261898,-111.075363
"45",45,"Sweetwater","2021-02-27 23:00:07",32.264531,-111.084962
"46",46,"Sweetwater","2021-02-28 12:00:08",32.267926,-111.089535
"47",47,"Sweetwater","2021-03-01 00:00:07",32.265251,-111.0729
"48",48,"Sweetwater","2021-03-01 13:00:07",32.269396,-111.080064
"49",49,"Sweetwater","2021-03-03 02:00:10",32.25715,-111.078057
"50",50,"Sweetwater","2021-03-03 15:00:12",32.273646,-111.070491
"51",51,"Sweetwater","2021-03-04 16:00:06",32.263757,-111.081177
"52",52,"Sweetwater","2021-03-05 17:00:05",32.260607,-111.084263
