"X.1","X","tag.individual.identifier","individual.local.identifier","location.lat","location.long","timestamp","data_owner","individual.identifier"
20692,20692,725539,"BC #27 Wyatt",32.26762,-111.037007,"2022-01-13 9:00:23","mollohan_baldwin","Wyatt"
20693,20693,725539,"BC #27 Wyatt",32.275112,-111.041077,"2022-01-13 11:01:01","mollohan_baldwin","Wyatt"
20694,20694,725539,"BC #27 Wyatt",32.287693,-111.027012,"2022-01-13 22:00:08","mollohan_baldwin","Wyatt"
20695,20695,725539,"BC #27 Wyatt",32.291457,-111.043755,"2022-01-14 11:00:11","mollohan_baldwin","Wyatt"
20696,20696,725539,"BC #27 Wyatt",32.282219,-111.026154,"2022-01-15 0:00:26","mollohan_baldwin","Wyatt"
20697,20697,725539,"BC #27 Wyatt",32.273004,-111.035854,"2022-01-15 13:00:10","mollohan_baldwin","Wyatt"
20698,20698,725539,"BC #27 Wyatt",32.282818,-111.026207,"2022-01-16 2:00:11","mollohan_baldwin","Wyatt"
20699,20699,725539,"BC #27 Wyatt",32.277852,-111.027006,"2022-01-16 15:00:17","mollohan_baldwin","Wyatt"
20700,20700,725539,"BC #27 Wyatt",32.298913,-111.041466,"2022-01-17 4:00:08","mollohan_baldwin","Wyatt"
20701,20701,725539,"BC #27 Wyatt",32.278258,-111.020655,"2022-01-17 17:00:11","mollohan_baldwin","Wyatt"
20702,20702,725539,"BC #27 Wyatt",32.26748,-111.03705,"2022-01-18 19:00:13","mollohan_baldwin","Wyatt"
20703,20703,725539,"BC #27 Wyatt",32.270432,-111.042936,"2022-01-19 21:00:09","mollohan_baldwin","Wyatt"
20704,20704,725539,"BC #27 Wyatt",32.292708,-111.037251,"2022-01-20 10:00:10","mollohan_baldwin","Wyatt"
20705,20705,725539,"BC #27 Wyatt",32.303436,-111.046903,"2022-01-20 15:00:37","mollohan_baldwin","Wyatt"
20706,20706,725539,"BC #27 Wyatt",32.276859,-111.026252,"2022-01-20 23:00:08","mollohan_baldwin","Wyatt"
20707,20707,725539,"BC #27 Wyatt",32.25231,-111.020837,"2022-01-21 12:00:12","mollohan_baldwin","Wyatt"
20708,20708,725539,"BC #27 Wyatt",32.275971,-111.021539,"2022-01-22 1:00:25","mollohan_baldwin","Wyatt"
20709,20709,725539,"BC #27 Wyatt",32.277014,-111.031322,"2022-01-22 14:00:07","mollohan_baldwin","Wyatt"
20710,20710,725539,"BC #27 Wyatt",32.284301,-111.027327,"2022-01-23 1:00:12","mollohan_baldwin","Wyatt"
20711,20711,725539,"BC #27 Wyatt",32.284308,-111.027389,"2022-01-23 3:00:17","mollohan_baldwin","Wyatt"
20712,20712,725539,"BC #27 Wyatt",32.284359,-111.027486,"2022-01-23 5:00:08","mollohan_baldwin","Wyatt"
20713,20713,725539,"BC #27 Wyatt",32.294113,-111.038119,"2022-01-23 7:00:11","mollohan_baldwin","Wyatt"
20714,20714,725539,"BC #27 Wyatt",32.277785,-111.040229,"2022-01-23 11:00:06","mollohan_baldwin","Wyatt"
20715,20715,725539,"BC #27 Wyatt",32.265728,-111.044794,"2022-01-23 13:00:07","mollohan_baldwin","Wyatt"
20716,20716,725539,"BC #27 Wyatt",32.259705,-111.030426,"2022-01-23 15:00:09","mollohan_baldwin","Wyatt"
20717,20717,725539,"BC #27 Wyatt",32.278596,-111.022512,"2022-01-23 17:00:25","mollohan_baldwin","Wyatt"
20718,20718,725539,"BC #27 Wyatt",32.279671,-111.02394,"2022-01-23 19:00:12","mollohan_baldwin","Wyatt"
20719,20719,725539,"BC #27 Wyatt",32.28624,-111.026183,"2022-01-23 21:00:09","mollohan_baldwin","Wyatt"
20720,20720,725539,"BC #27 Wyatt",32.286235,-111.026175,"2022-01-23 23:00:10","mollohan_baldwin","Wyatt"
20721,20721,725539,"BC #27 Wyatt",32.283971,-111.025813,"2022-01-24 1:00:25","mollohan_baldwin","Wyatt"
20722,20722,725539,"BC #27 Wyatt",32.284096,-111.026601,"2022-01-24 3:00:18","mollohan_baldwin","Wyatt"
20723,20723,725539,"BC #27 Wyatt",32.284059,-111.026677,"2022-01-24 5:00:09","mollohan_baldwin","Wyatt"
20724,20724,725539,"BC #27 Wyatt",32.27808,-111.020238,"2022-01-24 9:00:09","mollohan_baldwin","Wyatt"
20725,20725,725539,"BC #27 Wyatt",32.258254,-111.030242,"2022-01-24 13:00:08","mollohan_baldwin","Wyatt"
20726,20726,725539,"BC #27 Wyatt",32.26597,-111.044553,"2022-01-24 15:00:11","mollohan_baldwin","Wyatt"
20727,20727,725539,"BC #27 Wyatt",32.281544,-111.030789,"2022-01-24 17:00:10","mollohan_baldwin","Wyatt"
20728,20728,725539,"BC #27 Wyatt",32.277641,-111.024776,"2022-01-24 19:00:26","mollohan_baldwin","Wyatt"
20729,20729,725539,"BC #27 Wyatt",32.283067,-111.02926,"2022-01-24 23:00:11","mollohan_baldwin","Wyatt"
20730,20730,725539,"BC #27 Wyatt",32.298797,-111.040424,"2022-01-25 3:00:25","mollohan_baldwin","Wyatt"
20731,20731,725539,"BC #27 Wyatt",32.298861,-111.040292,"2022-01-25 5:00:09","mollohan_baldwin","Wyatt"
20732,20732,725539,"BC #27 Wyatt",32.298898,-111.04033,"2022-01-25 7:00:10","mollohan_baldwin","Wyatt"
20733,20733,725539,"BC #27 Wyatt",32.284853,-111.043186,"2022-01-25 9:00:07","mollohan_baldwin","Wyatt"
20734,20734,725539,"BC #27 Wyatt",32.265887,-111.041578,"2022-01-25 11:00:07","mollohan_baldwin","Wyatt"
20735,20735,725539,"BC #27 Wyatt",32.278271,-111.021528,"2022-01-25 13:00:11","mollohan_baldwin","Wyatt"
20736,20736,725539,"BC #27 Wyatt",32.27887,-111.023317,"2022-01-25 15:00:10","mollohan_baldwin","Wyatt"
20737,20737,725539,"BC #27 Wyatt",32.280621,-111.025932,"2022-01-25 17:00:10","mollohan_baldwin","Wyatt"
20738,20738,725539,"BC #27 Wyatt",32.284333,-111.027367,"2022-01-25 19:00:17","mollohan_baldwin","Wyatt"
20739,20739,725539,"BC #27 Wyatt",32.282104,-111.026114,"2022-01-25 23:00:12","mollohan_baldwin","Wyatt"
20740,20740,725539,"BC #27 Wyatt",32.282214,-111.026108,"2022-01-26 1:00:06","mollohan_baldwin","Wyatt"
20741,20741,725539,"BC #27 Wyatt",32.283516,-111.025622,"2022-01-26 3:00:08","mollohan_baldwin","Wyatt"
20742,20742,725539,"BC #27 Wyatt",32.283552,-111.025674,"2022-01-26 5:00:09","mollohan_baldwin","Wyatt"
20743,20743,725539,"BC #27 Wyatt",32.282269,-111.027126,"2022-01-26 7:00:10","mollohan_baldwin","Wyatt"
20744,20744,725539,"BC #27 Wyatt",32.263629,-111.045825,"2022-01-26 11:00:07","mollohan_baldwin","Wyatt"
20745,20745,725539,"BC #27 Wyatt",32.260094,-111.024242,"2022-01-26 13:00:11","mollohan_baldwin","Wyatt"
20746,20746,725539,"BC #27 Wyatt",32.262656,-111.022961,"2022-01-26 15:00:09","mollohan_baldwin","Wyatt"
20747,20747,725539,"BC #27 Wyatt",32.283045,-111.041427,"2022-01-26 17:00:12","mollohan_baldwin","Wyatt"
20748,20748,725539,"BC #27 Wyatt",32.291966,-111.046587,"2022-01-26 19:00:08","mollohan_baldwin","Wyatt"
