"name","scale_of_effect"
"Avery","high_ 30"
"Wyatt","high_ 30"
"Ben","high_ 30"
"Beverly","high_ 30"
"BobbiJo","high_ 30"
"Braeden","high_ 30"
"Bunny","high_ 30"
"Carrie","high_ 30"
"Cassidy","high_ 30"
"Catherine","high_ 30"
"Charlie","high_ 1500"
"Cynthia","high_ 30"
"Daphne","high_ 30"
"Dave","high_ 30"
"Elsie","high_ 30"
"EmmaClaire","high_ 30"
"Hal","high_ 30"
"Jack","high_ 1500"
"Jonathan","high_ 30"
"Lisa","high_ 30"
"Luna","high_ 30"
"Margaret","high_ 30"
"Michele","high_ 30"
"Minnie","high_ 30"
"Morgan","high_ 30"
"Nala","high_ 30"
"Rocky","high_ 30"
"Sadie","high_ 30"
"Shannan","high_ 750"
"Steve","high_ 30"
"Sweetwater","high_ 1500"
"Sylvia","high_ 30"
"Val","high_ 30"
