"name","scale_of_effect"
"Avery","shrub_ 30"
"Wyatt","shrub_ 30"
"Ben","shrub_ 30"
"Beverly","shrub_ 30"
"BobbiJo","shrub_ 30"
"Braeden","shrub_ 30"
"Bunny","shrub_ 30"
"Carrie","shrub_ 30"
"Cassidy","shrub_ 30"
"Catherine","shrub_ 30"
"Charlie","shrub_ 30"
"Cynthia","shrub_ 30"
"Daphne","shrub_ 30"
"Dave","shrub_ 1500"
"Elsie","shrub_ 30"
"EmmaClaire","shrub_ 30"
"Hal","shrub_ 1500"
"Jack","shrub_ 1500"
"Jonathan","shrub_ 30"
"Lisa","shrub_ 30"
"Luna","shrub_ 30"
"Margaret","shrub_ 30"
"Michele","shrub_ 30"
"Minnie","shrub_ 750"
"Morgan","shrub_ 30"
"Nala","shrub_ 30"
"Rocky","shrub_ 750"
"Sadie","shrub_ 30"
"Shannan","shrub_ 30"
"Steve","shrub_ 30"
"Sweetwater","shrub_ 30"
"Sylvia","shrub_ 30"
"Val","shrub_ 30"
