"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Sadie","2022-01-12 07:00:09",32.242762,-111.047895
"2",2,"Sadie","2022-01-12 20:00:26",32.245616,-111.042903
"3",3,"Sadie","2022-01-13 09:00:19",32.249882,-111.038407
"4",4,"Sadie","2022-01-13 11:00:51",32.2527,-111.03745
"5",5,"Sadie","2022-01-13 22:00:08",32.247692,-111.050049
"6",6,"Sadie","2022-01-15 00:00:11",32.241859,-111.048807
"7",7,"Sadie","2022-01-15 13:00:08",32.25357,-111.045988
"8",8,"Sadie","2022-01-16 15:00:14",32.252109,-111.046737
"9",9,"Sadie","2022-01-17 04:00:14",32.253292,-111.03625
"10",10,"Sadie","2022-01-17 17:00:09",32.248215,-111.050747
"11",11,"Sadie","2022-01-18 07:00:08",32.246704,-111.051564
"12",12,"Sadie","2022-01-18 13:00:08",32.246584,-111.050596
"13",13,"Sadie","2022-01-19 01:00:08",32.241736,-111.035546
"14",14,"Sadie","2022-01-19 07:00:08",32.243859,-111.038677
"15",15,"Sadie","2022-01-19 13:00:09",32.247913,-111.050789
"16",16,"Sadie","2022-01-19 19:00:22",32.255578,-111.044366
"17",17,"Sadie","2022-01-20 07:00:07",32.252923,-111.036776
"18",18,"Sadie","2022-01-20 13:00:08",32.249798,-111.054771
"19",19,"Sadie","2022-01-20 15:02:24",32.248086,-111.05084
"20",20,"Sadie","2022-01-20 19:00:15",32.247658,-111.044748
"21",21,"Sadie","2022-01-21 01:00:26",32.243486,-111.044245
"22",22,"Sadie","2022-01-21 07:00:14",32.241267,-111.038228
"23",23,"Sadie","2022-01-21 13:00:10",32.246379,-111.052539
"24",24,"Sadie","2022-01-21 19:00:13",32.251854,-111.051318
"25",25,"Sadie","2022-01-22 01:00:12",32.248193,-111.040304
"26",26,"Sadie","2022-01-22 07:00:11",32.249784,-111.042971
"27",27,"Sadie","2022-01-22 13:00:09",32.250517,-111.03891
"28",28,"Sadie","2022-01-22 19:00:13",32.253205,-111.040608
"29",29,"Sadie","2022-01-23 07:00:08",32.238375,-111.033022
"30",30,"Sadie","2022-01-23 13:00:10",32.247851,-111.041928
"31",31,"Sadie","2022-01-23 19:00:11",32.252441,-111.057041
"32",32,"Sadie","2022-01-24 07:00:10",32.246832,-111.055632
"33",33,"Sadie","2022-01-24 13:00:08",32.25154,-111.04204
"34",34,"Sadie","2022-01-24 19:00:08",32.242467,-111.048712
"35",35,"Sadie","2022-01-25 01:00:14",32.233361,-111.040974
"36",36,"Sadie","2022-01-25 07:00:09",32.234941,-111.038655
"37",37,"Sadie","2022-01-25 13:00:10",32.247396,-111.04229
"38",38,"Sadie","2022-01-25 19:00:09",32.252527,-111.047113
"39",39,"Sadie","2022-01-26 01:00:25",32.246151,-111.055828
"40",40,"Sadie","2022-01-26 07:00:10",32.249546,-111.05614
"41",41,"Sadie","2022-01-26 13:00:08",32.251021,-111.044968
"42",42,"Sadie","2022-01-26 19:00:08",32.252792,-111.038199
"43",43,"Sadie","2022-01-27 01:00:09",32.244182,-111.039938
"44",44,"Sadie","2022-01-27 11:00:08",32.247714,-111.05023
"45",45,"Sadie","2022-01-27 19:00:50",32.239267,-111.036013
"46",46,"Sadie","2022-01-28 00:00:08",32.248624,-111.039468
"47",47,"Sadie","2022-01-28 13:00:08",32.250161,-111.048468
"48",48,"Sadie","2022-01-29 15:00:20",32.250625,-111.042706
"49",49,"Sadie","2022-01-30 17:00:10",32.253313,-111.045178
"50",50,"Sadie","2022-02-01 21:00:07",32.247468,-111.0449
"51",51,"Sadie","2022-02-02 10:00:07",32.247697,-111.043395
"52",52,"Sadie","2022-02-03 12:00:11",32.25116,-111.046529
"53",53,"Sadie","2022-02-03 23:01:33",32.251262,-111.03729
"54",54,"Sadie","2022-02-04 01:00:27",32.251725,-111.038141
"55",55,"Sadie","2022-02-04 14:00:12",32.248967,-111.048617
"56",56,"Sadie","2022-02-05 16:00:12",32.253241,-111.049904
"57",57,"Sadie","2022-02-06 05:00:08",32.248737,-111.053498
"58",58,"Sadie","2022-02-06 18:00:10",32.249667,-111.04573
